,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s),pitch_dur-6,pitch_dur-5,pitch_dur-4,pitch_dur-3,pitch_dur-2,pitch_dur-1,pitch_dur0,pitch_dur1,pitch_dur2,pitch_dur3,pitch_dur4,pitch_dur5
12,ab4,16,2,3,4,I64,4,1,0,0,0,p,68,65,0.3,59-16,60-16,61-16,62-16,63-16,64-16,65-16,66-16,67-16,68-16,69-16,70-16
13,f4,16,2,4,1,V,5,0,0,0,0,p,65,62,0.3,56-16,57-16,58-16,59-16,60-16,61-16,62-16,63-16,64-16,65-16,66-16,67-16
14,g4,16,2,4,2,V,6,1,0,0,0,p,67,64,0.3,58-16,59-16,60-16,61-16,62-16,63-16,64-16,65-16,66-16,67-16,68-16,69-16
15,ab4,16,2,4,3,V7,7,0,0,0,0,p,68,65,0.3,59-16,60-16,61-16,62-16,63-16,64-16,65-16,66-16,67-16,68-16,69-16,70-16
16,a4,16,2,4,4,V7,7,1,0,0,0,p,69,66,0.3,60-16,61-16,62-16,63-16,64-16,65-16,66-16,67-16,68-16,69-16,70-16,71-16
17,bb5,4,3,1,1,I6,5,0,1,0,0,p,82,79,1.2,73-4,74-4,75-4,76-4,77-4,78-4,79-4,80-4,81-4,82-4,83-4,84-4
18,g5,8,3,2,1,I,3,0,1,0,0,p,79,76,0.6,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8,78-8,79-8,80-8,81-8
19,f5,8,3,2,3,V,5,0,1,0,0,p,77,74,0.6,68-8,69-8,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8,78-8,79-8
20,eb5,8,3,3,1,I6,1,0,1,0,0,p,75,72,0.6,66-8,67-8,68-8,69-8,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8
21,f5,8,3,3,3,V,5,0,1,0,0,p,77,74,0.6,68-8,69-8,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8,78-8,79-8
22,g5,8,3,4,1,I,3,0,1,0,0,p,79,76,0.6,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8,78-8,79-8,80-8,81-8
23,ab5,8,3,4,3,IV6,1,0,1,0,0,p,80,77,0.6,71-8,72-8,73-8,74-8,75-8,76-8,77-8,78-8,79-8,80-8,81-8,82-8
24,bb5,8,4,1,1,I6,5,0,1,0,0,p,82,79,0.6,73-8,74-8,75-8,76-8,77-8,78-8,79-8,80-8,81-8,82-8,83-8,84-8
25,b5,32,4,1,3,ii6,4,1,1,0,0,p,83,80,0.15,74-32,75-32,76-32,77-32,78-32,79-32,80-32,81-32,82-32,83-32,84-32,85-32
26,c6,32,4,1,3&,ii6,5,0,1,0,0,p,84,81,0.15,75-32,76-32,77-32,78-32,79-32,80-32,81-32,82-32,83-32,84-32,85-32,86-32
27,ab5,32,4,1,4,ii6,3,0,1,0,0,p,80,77,0.15,71-32,72-32,73-32,74-32,75-32,76-32,77-32,78-32,79-32,80-32,81-32,82-32
28,f5,32,4,1,4&,ii6,1,0,1,0,0,p,77,74,0.15,68-32,69-32,70-32,71-32,72-32,73-32,74-32,75-32,76-32,77-32,78-32,79-32
29,eb5,8,4,2,1,I64,1,0,1,0,0,p,75,72,0.6,66-8,67-8,68-8,69-8,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8
30,g5,32,4,2,3,V7,6,1,1,0,0,p,79,76,0.15,70-32,71-32,72-32,73-32,74-32,75-32,76-32,77-32,78-32,79-32,80-32,81-32
31,f5,32,4,2,3&,V7,5,0,1,0,0,p,77,74,0.15,68-32,69-32,70-32,71-32,72-32,73-32,74-32,75-32,76-32,77-32,78-32,79-32
32,e5,32,4,2,4,V7,4,1,1,0,0,p,76,73,0.15,67-32,68-32,69-32,70-32,71-32,72-32,73-32,74-32,75-32,76-32,77-32,78-32
33,f5,32,4,2,4&,V7,5,0,1,0,0,p,77,74,0.15,68-32,69-32,70-32,71-32,72-32,73-32,74-32,75-32,76-32,77-32,78-32,79-32
34,f5,4,4,3,1,I,2,1,1,0,0,p,77,74,1.2,68-4,69-4,70-4,71-4,72-4,73-4,74-4,75-4,76-4,77-4,78-4,79-4
35,eb5,8,4,4,1,I,1,0,1,0,0,p,75,72,0.6,66-8,67-8,68-8,69-8,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8
36,r,8,4,4,3,0,0,0,1,0,0,p,0,0,0.6,0-8,0-8,0-8,0-8,0-8,0-8,0-8,0-8,0-8,0-8,0-8,0-8
