,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s),pitch_dur-6,pitch_dur-5,pitch_dur-4,pitch_dur-3,pitch_dur-2,pitch_dur-1,pitch_dur0,pitch_dur1,pitch_dur2,pitch_dur3,pitch_dur4,pitch_dur5
0,bb4,4,1,1,1,I,5,0,0,0,0,p,70,67,1.2,61-4,62-4,63-4,64-4,65-4,66-4,67-4,68-4,69-4,70-4,71-4,72-4
1,g4,8,1,2,1,I,3,0,0,0,0,p,67,64,0.6,58-8,59-8,60-8,61-8,62-8,63-8,64-8,65-8,66-8,67-8,68-8,69-8
2,f4,8,1,2,3,V,5,0,0,0,0,p,65,62,0.6,56-8,57-8,58-8,59-8,60-8,61-8,62-8,63-8,64-8,65-8,66-8,67-8
3,eb4,8,1,3,1,I,1,0,0,0,0,p,63,60,0.6,54-8,55-8,56-8,57-8,58-8,59-8,60-8,61-8,62-8,63-8,64-8,65-8
4,bb3,8,1,3,3,I,5,0,0,0,0,p,58,55,0.6,49-8,50-8,51-8,52-8,53-8,54-8,55-8,56-8,57-8,58-8,59-8,60-8
5,eb4,8,1,4,1,I,1,0,0,0,0,p,63,60,0.6,54-8,55-8,56-8,57-8,58-8,59-8,60-8,61-8,62-8,63-8,64-8,65-8
6,f4,8,1,4,3,V,5,0,0,0,0,p,65,62,0.6,56-8,57-8,58-8,59-8,60-8,61-8,62-8,63-8,64-8,65-8,66-8,67-8
7,g4,8,2,1,1,I,3,0,0,0,0,p,67,64,0.6,58-8,59-8,60-8,61-8,62-8,63-8,64-8,65-8,66-8,67-8,68-8,69-8
8,ab4,8,2,1,3,IV6,1,0,0,0,0,p,68,65,0.6,59-8,60-8,61-8,62-8,63-8,64-8,65-8,66-8,67-8,68-8,69-8,70-8
9,bb4,8,2,2,1,I6,5,0,0,0,0,p,70,67,0.6,61-8,62-8,63-8,64-8,65-8,66-8,67-8,68-8,69-8,70-8,71-8,72-8
10,c5,8,2,2,3,IV,3,0,0,0,0,p,72,69,0.6,63-8,64-8,65-8,66-8,67-8,68-8,69-8,70-8,71-8,72-8,73-8,74-8
11,g4,8d,2,3,1,I64,3,0,0,0,0,p,67,64,0.8999999999999999,58-8d,59-8d,60-8d,61-8d,62-8d,63-8d,64-8d,65-8d,66-8d,67-8d,68-8d,69-8d
