,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s),pitch_dur-6,pitch_dur-5,pitch_dur-4,pitch_dur-3,pitch_dur-2,pitch_dur-1,pitch_dur0,pitch_dur1,pitch_dur2,pitch_dur3,pitch_dur4,pitch_dur5
0,g5,8,1,1,1,I,5,0,0,0,0,mf,79,79,0.47619047619047616,73-8,74-8,75-8,76-8,77-8,78-8,79-8,80-8,81-8,82-8,83-8,84-8
1,g5,8d,1,1,3,I,5,0,0,0,0,mf,79,79,0.7142857142857142,73-8d,74-8d,75-8d,76-8d,77-8d,78-8d,79-8d,80-8d,81-8d,82-8d,83-8d,84-8d
2,f5,32,1,2,2,I,4,1,0,0,0,mf,77,77,0.11904761904761904,71-32,72-32,73-32,74-32,75-32,76-32,77-32,78-32,79-32,80-32,81-32,82-32
3,e5,32,1,2,2&,I,3,0,0,0,0,mf,76,76,0.11904761904761904,70-32,71-32,72-32,73-32,74-32,75-32,76-32,77-32,78-32,79-32,80-32,81-32
4,e5,32,1,2,3,I,3,0,0,0,0,mf,76,76,0.11904761904761904,70-32,71-32,72-32,73-32,74-32,75-32,76-32,77-32,78-32,79-32,80-32,81-32
5,d5,32,1,2,3&,I,2,1,0,0,0,mf,74,74,0.11904761904761904,68-32,69-32,70-32,71-32,72-32,73-32,74-32,75-32,76-32,77-32,78-32,79-32
6,c5,32,1,2,4,I,1,0,0,0,0,mf,72,72,0.11904761904761904,66-32,67-32,68-32,69-32,70-32,71-32,72-32,73-32,74-32,75-32,76-32,77-32
7,b4,32,1,2,4&,I,7,1,0,0,0,mf,71,71,0.11904761904761904,65-32,66-32,67-32,68-32,69-32,70-32,71-32,72-32,73-32,74-32,75-32,76-32
8,c5,8d,2,1,1,I,1,0,0,0,1,mf,72,72,0.7142857142857142,66-8d,67-8d,68-8d,69-8d,70-8d,71-8d,72-8d,73-8d,74-8d,75-8d,76-8d,77-8d
9,d5,32,2,1,4,I,2,1,0,0,0,mf,74,74,0.11904761904761904,68-32,69-32,70-32,71-32,72-32,73-32,74-32,75-32,76-32,77-32,78-32,79-32
10,e5,32,2,1,4&,I,3,0,0,0,0,mf,76,76,0.11904761904761904,70-32,71-32,72-32,73-32,74-32,75-32,76-32,77-32,78-32,79-32,80-32,81-32
11,g4,8,2,2,1,I,5,0,0,0,0,mf,67,67,0.47619047619047616,61-8,62-8,63-8,64-8,65-8,66-8,67-8,68-8,69-8,70-8,71-8,72-8
12,r,8,2,2,3,I,0,0,0,0,0,mf,0,0,0.47619047619047616,0-8,0-8,0-8,0-8,0-8,0-8,0-8,0-8,0-8,0-8,0-8,0-8
13,g5,16,3,1,1,I,5,0,1,0,0,p,79,79,0.23809523809523808,73-16,74-16,75-16,76-16,77-16,78-16,79-16,80-16,81-16,82-16,83-16,84-16
14,g5,16,3,1,2,I,5,0,1,0,0,p,79,79,0.23809523809523808,73-16,74-16,75-16,76-16,77-16,78-16,79-16,80-16,81-16,82-16,83-16,84-16
15,g5,8d,3,1,3,I,5,0,1,0,0,p,79,79,0.7142857142857142,73-8d,74-8d,75-8d,76-8d,77-8d,78-8d,79-8d,80-8d,81-8d,82-8d,83-8d,84-8d
16,f5,32,3,2,2,I,4,1,1,0,0,p,77,77,0.11904761904761904,71-32,72-32,73-32,74-32,75-32,76-32,77-32,78-32,79-32,80-32,81-32,82-32
17,e5,32,3,2,2&,I,3,0,1,0,0,p,76,76,0.11904761904761904,70-32,71-32,72-32,73-32,74-32,75-32,76-32,77-32,78-32,79-32,80-32,81-32
18,e5,32,3,2,3,I,3,0,1,0,0,p,76,76,0.11904761904761904,70-32,71-32,72-32,73-32,74-32,75-32,76-32,77-32,78-32,79-32,80-32,81-32
19,d5,32,3,2,3&,I,2,1,1,0,0,p,74,74,0.11904761904761904,68-32,69-32,70-32,71-32,72-32,73-32,74-32,75-32,76-32,77-32,78-32,79-32
20,c5,32,3,2,4,I,1,0,1,0,0,p,72,72,0.11904761904761904,66-32,67-32,68-32,69-32,70-32,71-32,72-32,73-32,74-32,75-32,76-32,77-32
21,b4,32,3,2,4&,I,7,1,1,0,0,p,71,71,0.11904761904761904,65-32,66-32,67-32,68-32,69-32,70-32,71-32,72-32,73-32,74-32,75-32,76-32
22,c5,8d,4,1,1,I,1,0,1,0,1,p,72,72,0.7142857142857142,66-8d,67-8d,68-8d,69-8d,70-8d,71-8d,72-8d,73-8d,74-8d,75-8d,76-8d,77-8d
23,d5,32,4,1,4,I,2,1,1,0,0,p,74,74,0.11904761904761904,68-32,69-32,70-32,71-32,72-32,73-32,74-32,75-32,76-32,77-32,78-32,79-32
24,e5,32,4,1,4&,I,3,0,1,0,0,p,76,76,0.11904761904761904,70-32,71-32,72-32,73-32,74-32,75-32,76-32,77-32,78-32,79-32,80-32,81-32
25,g4,8,4,2,1,I,5,0,1,0,0,p,67,67,0.47619047619047616,61-8,62-8,63-8,64-8,65-8,66-8,67-8,68-8,69-8,70-8,71-8,72-8
26,r,8,4,2,3,I,0,0,1,0,0,p,0,0,0.47619047619047616,0-8,0-8,0-8,0-8,0-8,0-8,0-8,0-8,0-8,0-8,0-8,0-8
