,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s)
0,c5,4,1,1,1,I,5,0,0,0,0,f,72,67,0.43478260869565216
1,c5,4,1,2,1,I,5,0,0,0,0,f,72,67,0.43478260869565216
2,c5,4,1,3,1,I,5,0,0,0,0,f,72,67,0.43478260869565216
3,c5,4d,2,1,1,I,5,0,0,0,0,f,72,67,0.6521739130434783
4,d5,16,2,2,3,I,6,1,0,0,0,f,74,69,0.10869565217391304
5,c5,16,2,2,4,I,5,0,0,0,0,f,72,67,0.10869565217391304
6,b4,16,2,3,1,I,4,1,0,0,0,f,71,66,0.10869565217391304
7,a4,16,2,3,2,I,3,0,0,0,0,f,69,64,0.10869565217391304
8,g4,16,2,3,3,I,2,1,0,0,0,f,67,62,0.10869565217391304
9,f4,16,2,3,4,I,1,0,0,0,0,f,65,60,0.10869565217391304
10,f5,4,3,1,1,I,1,0,0,1,0,a,77,72,0.43478260869565216
11,e5,4,3,2,1,viidim,1,0,0,1,0,f,76,71,0.43478260869565216
12,eb5,4,3,3,1,V7/IV,7,0,0,1,0,f,75,70,0.43478260869565216
13,d5,4,4,1,1,IV64,3,0,0,1,0,f,74,69,0.43478260869565216
14,r,4,4,2,1,IV64,0,0,0,1,0,f,0,0,0.43478260869565216
15,r,4,4,3,1,IV64,0,0,0,1,0,f,0,0,0.43478260869565216
