,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s)
0,a4,16d,1,1,1,I,3,0,0,0,0,p,69,64,0.44999999999999996
1,f4,32,1,1,2&,I,1,0,0,0,0,c,65,60,0.15
2,bb4,16d,1,1,3,I,4,1,0,0,0,c,70,65,0.44999999999999996
3,g4,32d,1,1,4&,I,2,1,0,0,0,c,67,62,0.22499999999999998
4,c5,8d,1,2,1,I,5,0,0,0,0,f,72,67,0.8999999999999999
5,a4,16,1,2,4,I,3,0,0,0,0,p,69,64,0.3
6,f4,8,1,3,1,I,1,0,0,0,0,p,65,60,0.6
7,r,8,1,3,3,0,0,0,0,0,0,p,0,0,0.6
8,d5,16d,2,1,1,IV,3,0,0,0,0,p,74,69,0.44999999999999996
9,bb4,32,2,1,2&,IV,1,0,0,0,0,c,70,65,0.15
10,e5,16d,2,1,3,V,3,0,0,0,0,c,76,71,0.44999999999999996
11,c5,32,2,1,4&,V,1,0,0,0,0,c,72,67,0.15
12,f5,8d,2,2,1,I6,1,0,0,0,0,f,77,72,0.8999999999999999
13,c5,16,2,2,4,I6,5,0,0,0,0,p,72,67,0.3
14,a4,8,2,3,1,I6,3,0,0,0,0,p,69,64,0.6
15,r,8,2,3,3,0,0,0,0,0,0,p,0,0,0.6
16,f5,16d,3,1,1,I,1,0,0,1,0,f,77,72,0.44999999999999996
17,c5,32,3,1,2&,I,5,0,0,1,0,f,72,67,0.15
18,g5,16d,3,1,3,V,5,0,0,1,0,f,79,74,0.44999999999999996
19,e5,32,3,1,4&,V,3,0,0,1,0,f,76,71,0.15
20,a5,16d,3,2,1,I,3,0,0,1,0,a,81,76,0.44999999999999996
21,g5,32,3,2,2&,I,2,1,0,1,0,f,79,74,0.15
22,f5,16d,3,2,3,I,1,0,0,1,0,f,77,72,0.44999999999999996
23,e5,32,3,2,4&,I,7,1,0,1,0,f,76,71,0.15
24,f5,16d,3,3,1,I,1,0,0,1,0,f,77,72,0.44999999999999996
25,c5,32,3,3,2&,I,5,0,0,1,0,f,72,67,0.15
26,d5,16d,3,3,3,vi6,1,0,0,1,0,f,74,69,0.44999999999999996
27,a4,32,3,3,4&,vi6,5,0,0,1,0,f,69,64,0.15
28,c5,8,4,1,1,ii,4,1,0,1,0,a,72,67,0.6
29,bb4,8,4,1,3,V7,7,0,0,1,1,f,70,65,0.6
30,a4,8,4,2,1,I,3,0,0,1,0,f,69,64,0.6
