,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s)
0,b4,2,1,1,1,I,3,0,0,0,0,pp,71,76,2.0
1,d5,16,1,3,1,V43,1,0,0,0,0,pp,74,79,0.25
2,c5,16,1,3,2,V43,7,0,0,0,0,pp,72,77,0.25
3,b4,16,1,3,3,V43,6,1,0,0,0,pp,71,76,0.25
4,c5,16,1,3,4,V43,7,0,0,0,0,pp,72,77,0.25
5,d5,8d,2,1,1,I,5,0,0,0,0,a,74,79,0.75
6,b4,16,2,1,4,I,3,0,0,0,0,pp,71,76,0.25
7,g4,4,2,2,1,I,1,0,0,0,0,pp,67,72,1.0
8,r,4,2,3,1,I,0,0,0,0,0,pp,0,0,1.0
9,g5,4d,3,1,1,IV64,5,0,1,0,0,a,79,84,1.5
10,a5,16,3,2,3,IV64,6,1,1,0,0,pp,81,86,0.25
11,g5,16,3,2,4,IV64,5,0,1,0,0,pp,79,84,0.25
12,f#5,16,3,3,1,ii#dim7,6,1,1,0,0,pp,78,83,0.25
13,e5,16,3,3,2,ii#dim7,5,0,1,0,0,pp,76,81,0.25
14,d5,16,3,3,3,ii#dim7,4,1,1,0,0,pp,74,79,0.25
15,c#5,16,3,3,4,ii#dim7,3,0,1,0,0,pp,73,78,0.25
16,d5,8d,4,1,1,I,5,0,1,0,0,a,74,79,0.75
17,b4,16,4,1,4,I,3,0,1,0,0,pp,71,76,0.25
18,g4,4,4,2,1,I,1,0,1,0,0,pp,67,72,1.0
19,r,4,4,3,1,I,0,0,1,0,0,pp,0,0,1.0
