,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s)
0,bb4,2,1,1,1,I,1,0,0,0,0,p,70,72,0.9090909090909091
1,f4,4,1,3,1,I,5,0,0,0,0,p,65,67,0.45454545454545453
2,d4,2,2,1,1,I,3,0,0,0,0,p,62,64,0.9090909090909091
3,f4,4,2,3,1,I,5,0,0,0,0,p,65,67,0.45454545454545453
4,bb4,2,3,1,1,I,1,0,0,0,0,p,70,72,0.9090909090909091
5,d5,4,3,3,1,I,3,0,0,0,0,p,74,76,0.45454545454545453
6,f5,2,4,1,1,I,5,0,0,0,0,p,77,79,0.9090909090909091
7,bb5,8,4,3,1,I,1,0,0,0,0,p,82,84,0.22727272727272727
8,d5,8,4,3,3,I,3,0,0,0,0,p,74,76,0.22727272727272727
9,f5,8,5,1,1,V7,1,0,0,1,0,p,77,79,0.22727272727272727
10,eb5,8,5,1,3,V7,7,0,0,1,0,p,75,77,0.22727272727272727
11,d5,8,5,2,1,V7,6,1,0,1,0,p,74,76,0.22727272727272727
12,c5,8,5,2,3,V7,5,0,0,1,0,p,72,74,0.22727272727272727
13,bb4,8,5,3,1,V7,4,1,0,1,0,p,70,72,0.22727272727272727
14,a4,8,5,3,3,V7,3,0,0,1,0,p,69,71,0.22727272727272727
15,g4,8,6,1,1,V7,2,1,0,1,0,p,67,69,0.22727272727272727
16,f4,8,6,1,3,V7,1,0,0,1,0,p,65,67,0.22727272727272727
17,e4,8,6,2,1,V7,7,1,0,1,0,p,64,66,0.22727272727272727
18,f4,8,6,2,3,V7,1,0,0,1,0,p,65,67,0.22727272727272727
19,g4,8,6,3,1,V7,2,1,0,1,0,p,67,69,0.22727272727272727
20,a4,8,6,3,3,V7,3,0,0,1,0,p,69,71,0.22727272727272727
21,bb4,8,7,1,1,I,1,0,0,1,0,p,70,72,0.22727272727272727
22,bb4,16,7,1,3,I,1,0,0,1,1,p,70,72,0.11363636363636363
23,a4,16,7,1,4,I,7,1,0,1,0,p,69,71,0.11363636363636363
24,bb4,8,7,2,1,I,1,0,0,1,0,p,70,72,0.22727272727272727
25,c5,8,7,2,3,I,2,1,0,1,0,p,72,74,0.22727272727272727
26,d5,8,7,3,1,I,3,0,0,1,0,p,74,76,0.22727272727272727
27,eb5,8,7,3,3,I,4,1,0,1,0,p,75,77,0.22727272727272727
28,e5,8,8,1,1,I,4,1,0,1,0,p,76,78,0.22727272727272727
29,f5,8,8,1,3,I,5,0,0,1,0,p,77,79,0.22727272727272727
30,g5,8,8,2,1,I,6,1,0,1,0,p,79,81,0.22727272727272727
31,f5,8,8,2,3,I,5,0,0,1,0,p,77,79,0.22727272727272727
32,bb5,8,8,3,1,I,1,0,0,1,0,p,82,84,0.22727272727272727
33,d5,8,8,3,3,I,3,0,0,1,0,p,74,76,0.22727272727272727
