,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s)
0,c4,2,1,1,1,i,1,0,0,0,0,f,60,57,0.75
1,eb4,4,1,3,1,i,3,0,0,0,0,f,63,60,0.375
2,g4,4,1,4,1,i,5,0,0,0,0,f,67,64,0.375
3,c5,4,2,1,1,i,1,0,0,0,0,f,72,69,0.375
4,eb5,4,2,2,1,i,3,0,0,0,0,f,75,72,0.375
5,r,8d,2,3,1,0,0,0,0,0,0,f,0,0,0.28125
6,eb5,16,2,3,4,i,3,0,0,1,0,p,75,72,0.09375
7,eb5,8,2,4,1,i,3,0,0,1,1,p,75,72,0.1875
8,d5,16,2,4,3,i,2,1,0,1,0,p,74,71,0.09375
9,eb5,16,2,4,4,i,3,0,0,1,0,p,75,72,0.09375
10,g5,4,3,1,1,i,5,0,0,1,0,p,79,76,0.375
11,c5,4,3,2,1,i,1,0,0,1,0,p,72,69,0.375
12,c5,4,3,3,1,i,1,0,0,1,0,p,72,69,0.375
13,c5,4,3,4,1,i,1,0,0,1,0,p,72,69,0.375
14,ab5,4,4,1,1,viidim65,7,0,0,1,0,p,80,77,0.375
15,b4,4,4,2,1,viidim65,1,0,0,1,0,p,71,68,0.375
16,b4,4,4,3,1,viidim65,1,1,0,1,0,p,71,68,0.375
17,r,4,4,4,1,0,0,1,0,1,0,p,0,0,0.375
