,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s)
0,c5,8,1,1,1,I,1,0,0,0,0,p,72,72,0.5172413793103449
1,c5,8,1,1,3,I,1,0,0,0,0,p,72,72,0.5172413793103449
2,c5,8,1,2,1,I,1,0,0,0,0,p,72,72,0.5172413793103449
3,c5,8,1,2,3,I,1,0,0,0,0,p,72,72,0.5172413793103449
4,b4,8,1,3,1,V43,3,0,0,0,0,mp,71,71,0.5172413793103449
5,f5,8,1,3,3,V43,7,0,0,0,0,mp,77,77,0.5172413793103449
6,f5,4,1,4,1,V65,7,0,0,0,0,mp,77,77,1.0344827586206897
7,e5,4,2,1,1,I,3,0,0,0,0,p,76,76,1.0344827586206897
8,g5,16,2,2,1,ii6,4,1,0,0,0,a,79,79,0.25862068965517243
9,f5,16,2,2,2,ii6,3,0,0,0,0,p,77,77,0.25862068965517243
10,e5,16,2,2,3,ii6,2,1,0,0,0,p,76,76,0.25862068965517243
11,d5,16,2,2,4,ii6,1,0,0,0,0,p,74,74,0.25862068965517243
12,c5,16,2,3,1,V,4,1,0,0,0,p,72,72,0.25862068965517243
13,b4,16,2,3,2,V,3,0,0,0,0,p,71,71,0.25862068965517243
14,a4,16,2,3,3,V,2,1,0,0,0,p,69,69,0.25862068965517243
15,g4,16,2,3,4,V,1,0,0,0,0,c,67,67,0.25862068965517243
16,a4,16,2,4,1,V,2,1,0,0,1,c,69,69,0.25862068965517243
17,g4,16,2,4,2,V,1,0,0,0,0,c,67,67,0.25862068965517243
18,a4,16,2,4,3,V42,2,1,0,0,0,c,69,69,0.25862068965517243
19,b4,16,2,4,4,V42,3,0,0,0,0,c,71,71,0.25862068965517243
20,c5,8,3,1,1,I6,1,0,1,0,0,mf,72,72,0.5172413793103449
21,c5,8,3,1,3,I6,1,0,1,0,0,mf,72,72,0.5172413793103449
22,c5,8,3,2,1,I,1,0,1,0,0,mf,72,72,0.5172413793103449
23,c5,8,3,2,3,I,1,0,1,0,0,mf,72,72,0.5172413793103449
24,b4,8,3,3,1,V43,3,0,1,0,0,f,71,71,0.5172413793103449
25,f5,8,3,3,3,V43,7,0,1,0,0,f,77,77,0.5172413793103449
26,f5,4,3,4,1,V65,7,0,1,0,0,f,77,77,1.0344827586206897
27,f5,16,4,1,4,I,4,1,1,0,0,a,77,77,0.25862068965517243
28,e5,16,4,1,3,I,3,0,1,0,0,mf,76,76,0.25862068965517243
29,f5,16,4,1,3,ii6,3,0,1,0,0,mf,77,77,0.25862068965517243
30,d5,16,4,1,1,ii6,1,0,1,0,0,mf,74,74,0.25862068965517243
31,c5,8,4,2,1,I64,1,0,1,0,0,mf,72,72,0.5172413793103449
32,b4,8,4,2,3,V,3,0,1,0,0,mf,71,71,0.5172413793103449
33,b4,4,4,3,1,I,7,1,1,0,0,a,71,71,1.0344827586206897
34,c5,8,4,4,1,I,1,0,1,0,0,mf,72,72,0.5172413793103449
35,r,8,4,4,3,0,0,0,1,0,0,mf,0,0,0.5172413793103449
