,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s)
0,c#5,8d,1,1,1,I,3,0,0,0,0,f,73,76,0.9375
1,d5,64,1,1,4,I,4,1,0,0,0,p,74,77,0.078125
2,c#5,64,1,1,4e,I,3,0,0,0,0,p,73,76,0.078125
3,b4,64,1,1,4&,I,2,1,0,0,0,p,71,74,0.078125
4,c#5,64,1,1,4a,I,3,0,0,0,0,p,73,76,0.078125
5,e5,8,1,2,1,V43,1,0,0,0,0,p,76,79,0.625
6,d5,8,1,2,3,V43,7,0,0,0,0,p,74,77,0.625
7,b4,8,1,3,1,V42,5,0,0,0,0,p,71,74,0.625
8,g#4,8,1,3,3,V42,3,0,0,0,0,p,68,71,0.625
9,a4,8d,2,1,1,I,1,0,0,0,0,c,69,72,0.9375
10,c#5,32,2,1,4,I,3,0,0,0,0,c,73,76,0.15625
11,a4,32,2,1,4&,I,1,0,0,0,0,c,69,72,0.15625
12,e5,2,2,2,1,V65,5,0,0,0,0,c,76,79,2.5
13,r,16,3,1,1,I,0,0,1,0,0,mf,0,0,0.3125
14,a5,16,3,1,2,I,1,0,1,0,0,mf,81,84,0.3125
15,g#5,16,3,1,3,I,7,1,1,0,0,mf,80,83,0.3125
16,g5,16,3,1,4,I,7,1,1,0,0,mf,79,82,0.3125
17,e#5,16,3,2,1,IV,2,1,1,0,0,d,77,80,0.3125
18,f#5,16,3,2,2,IV,3,0,1,0,0,d,78,81,0.3125
19,e5,16,3,2,3,IV,2,1,1,0,0,d,76,79,0.3125
20,d5,16,3,2,4,IV,1,0,1,0,0,d,74,77,0.3125
21,c#5,16,3,3,1,ii,2,1,1,0,0,p,73,76,0.3125
22,b4,16,3,3,2,ii,1,0,1,0,0,p,71,74,0.3125
23,d5,16,3,3,3,ii,3,0,1,0,0,p,74,77,0.3125
24,f#5,16,3,3,4,ii,5,0,1,0,0,p,78,81,0.3125
25,a4,8d,4,1,1,I64,1,0,1,0,0,a,69,72,0.9375
26,b4,32,4,1,4,I64,2,1,1,0,0,p,71,74,0.15625
27,a4,32,4,1,4&,I64,1,0,1,0,0,p,69,72,0.15625
28,g#4,16,4,2,1,V,3,0,1,0,0,p,68,71,0.3125
