,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s)
0,d5,4,1,1,1,I,1,0,0,0,0,f,74,72,0.47619047619047616
1,r,4,1,2,1,0,0,0,0,0,0,f,0,0,0.47619047619047616
2,g4,16,1,3,1,I,4,1,0,0,0,f,67,65,0.11904761904761904
3,f#4,16,1,3,2,I,3,0,0,0,0,f,66,64,0.11904761904761904
4,e4,16,1,3,3,I,2,1,0,0,0,f,64,62,0.11904761904761904
5,d4,16,1,3,4,I,1,0,0,0,0,f,62,60,0.11904761904761904
6,g4,16,1,4,1,I,4,1,0,0,0,f,67,65,0.11904761904761904
7,f#4,16,1,4,2,I,3,0,0,0,0,f,66,64,0.11904761904761904
8,e4,16,1,4,3,I,2,1,0,0,0,f,64,62,0.11904761904761904
9,d4,16,1,4,4,I,1,0,0,0,0,f,62,60,0.11904761904761904
10,a4,4,2,1,1,I,5,0,0,0,0,f,69,67,0.47619047619047616
11,f#4,4,2,2,1,I,3,0,0,0,0,f,66,64,0.47619047619047616
12,b4,4,2,3,1,vi,1,0,0,0,0,f,71,69,0.47619047619047616
13,r,8,2,4,1,0,0,0,0,0,0,f,0,0,0.23809523809523808
14,f#4,8,2,4,3,vi,5,0,0,1,0,f,66,64,0.23809523809523808
15,g4,8,3,1,1,V7,7,0,0,1,0,f,67,65,0.23809523809523808
16,e4,8,3,1,3,V7,5,0,0,1,0,f,64,62,0.23809523809523808
17,a4,8,3,2,1,I,5,0,0,1,0,f,69,67,0.23809523809523808
18,f#4,8,3,2,3,I,3,0,0,1,0,f,66,64,0.23809523809523808
19,d4,8,3,3,1,vi,3,0,0,1,0,f,62,60,0.23809523809523808
20,b3,8,3,3,3,vi,1,0,0,1,0,f,59,57,0.23809523809523808
21,e4,8,3,4,1,V,5,0,0,1,0,f,64,62,0.23809523809523808
22,c#4,8,3,4,3,V,3,0,0,1,0,f,61,59,0.23809523809523808
23,a3,4,4,1,1,V,1,0,0,1,0,f,57,55,0.47619047619047616
24,r,4,4,2,1,V,0,0,0,1,0,f,0,0,0.47619047619047616
