,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s)
0,b4,8,1,1,1,I,3,0,0,0,0,p,71,76,0.625
1,c5,16d,1,1,3,I,4,1,0,0,1,p,72,77,0.46875
2,b4,32,1,1,4&,I,3,0,0,0,0,p,71,76,0.15625
3,a4,8,1,2,1,V6,5,0,0,0,0,c,69,74,0.625
4,b4,8,1,2,3,I,3,0,0,0,0,c,71,76,0.625
5,c5,8,2,1,1,V43,7,0,0,0,0,d,72,77,0.625
6,d5,8,2,1,3,V65,1,0,0,0,0,d,74,79,0.625
7,c5,16,2,2,1,I,4,1,0,0,0,d,72,77,0.3125
8,b4,16,2,2,2,I,3,0,0,0,0,d,71,76,0.3125
9,a4,16,2,2,3,I,2,1,0,0,0,d,69,74,0.3125
10,g4,16,2,2,4,I,1,0,0,0,0,d,67,72,0.3125
11,c5,8,3,1,1,IV6,1,0,0,1,0,f,72,77,0.625
12,b4,8,3,1,3,I64,3,0,0,1,0,f,71,76,0.625
13,e5,8,3,2,1,IV,3,0,0,1,0,f,76,81,0.625
14,r,16,3,2,3,0,0,0,0,1,0,f,0,0,0.3125
15,d5,16,3,2,4,I6,5,0,0,1,0,p,74,79,0.3125
16,c5,16,4,1,1,V65,7,0,0,1,0,p,72,77,0.3125
17,a4,16,4,1,2,V65,5,0,0,1,0,p,69,74,0.3125
18,b4,16,4,1,3,I,3,0,0,1,0,p,71,76,0.3125
19,g4,16,4,1,4,I,1,0,0,1,0,p,67,72,0.3125
20,b4,8,4,2,1,I64,3,0,0,1,0,p,71,76,0.625
21,a4,8,4,2,3,V,5,0,0,1,0,p,69,74,0.625
