,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s),pitch_dur-6,pitch_dur-5,pitch_dur-4,pitch_dur-3,pitch_dur-2,pitch_dur-1,pitch_dur0,pitch_dur1,pitch_dur2,pitch_dur3,pitch_dur4,pitch_dur5
0,bb4,4,1,1,1,I,5,0,0,0,0,p,70,67,2.0,61-4,62-4,63-4,64-4,65-4,66-4,67-4,68-4,69-4,70-4,71-4,72-4
1,g4,8,1,2,1,I,3,0,0,0,0,p,67,64,1.0,58-8,59-8,60-8,61-8,62-8,63-8,64-8,65-8,66-8,67-8,68-8,69-8
2,g4,8,1,2,3,I,3,0,0,0,0,p,67,64,1.0,58-8,59-8,60-8,61-8,62-8,63-8,64-8,65-8,66-8,67-8,68-8,69-8
3,g4,8dd,1,3,1,I64,3,0,0,0,0,p,67,64,1.75,58-8dd,59-8dd,60-8dd,61-8dd,62-8dd,63-8dd,64-8dd,65-8dd,66-8dd,67-8dd,68-8dd,69-8dd
4,ab4,32,1,3,4&,I64,4,1,0,0,0,p,68,65,0.25,59-32,60-32,61-32,62-32,63-32,64-32,65-32,66-32,67-32,68-32,69-32,70-32
5,f4,8,1,4,1,V,5,0,0,0,0,p,65,62,1.0,56-8,57-8,58-8,59-8,60-8,61-8,62-8,63-8,64-8,65-8,66-8,67-8
6,r,8,1,4,3,V,0,0,0,0,0,p,0,0,1.0,0-8,0-8,0-8,0-8,0-8,0-8,0-8,0-8,0-8,0-8,0-8,0-8
7,eb4,4,2,1,1,I,1,0,0,0,0,f,63,60,2.0,54-4,55-4,56-4,57-4,58-4,59-4,60-4,61-4,62-4,63-4,64-4,65-4
8,f4,4,2,2,1,V,5,0,0,0,0,f,65,62,2.0,56-4,57-4,58-4,59-4,60-4,61-4,62-4,63-4,64-4,65-4,66-4,67-4
9,g4,16d,2,3,1,I,3,0,0,0,1,p,67,64,0.75,58-16d,59-16d,60-16d,61-16d,62-16d,63-16d,64-16d,65-16d,66-16d,67-16d,68-16d,69-16d
10,ab4,32,2,3,2&,I,4,1,0,0,0,p,68,65,0.25,59-32,60-32,61-32,62-32,63-32,64-32,65-32,66-32,67-32,68-32,69-32,70-32
11,bb4,32,2,3,3,I,5,0,0,0,0,p,70,67,0.25,61-32,62-32,63-32,64-32,65-32,66-32,67-32,68-32,69-32,70-32,71-32,72-32
12,c5,32,2,3,3&,I,6,1,0,0,0,p,72,69,0.25,63-32,64-32,65-32,66-32,67-32,68-32,69-32,70-32,71-32,72-32,73-32,74-32
13,d5,32,2,3,4,I,7,1,0,0,0,p,74,71,0.25,65-32,66-32,67-32,68-32,69-32,70-32,71-32,72-32,73-32,74-32,75-32,76-32
14,eb5,32,2,3,4&,I,1,0,0,0,0,p,75,72,0.25,66-32,67-32,68-32,69-32,70-32,71-32,72-32,73-32,74-32,75-32,76-32,77-32
15,bb4,16,2,4,1,I,5,0,0,0,0,p,70,67,0.5,61-16,62-16,63-16,64-16,65-16,66-16,67-16,68-16,69-16,70-16,71-16,72-16
16,r,16,2,4,2,0,0,0,0,0,0,p,0,0,0.5,0-16,0-16,0-16,0-16,0-16,0-16,0-16,0-16,0-16,0-16,0-16,0-16
17,g5,16,2,4,3,I,3,0,0,1,0,p,79,76,0.5,70-16,71-16,72-16,73-16,74-16,75-16,76-16,77-16,78-16,79-16,80-16,81-16
18,f5,16,2,4,4,I,2,1,0,1,0,p,77,74,0.5,68-16,69-16,70-16,71-16,72-16,73-16,74-16,75-16,76-16,77-16,78-16,79-16
19,eb5,16,3,1,1,vi,3,0,0,1,0,p,75,72,0.5,66-16,67-16,68-16,69-16,70-16,71-16,72-16,73-16,74-16,75-16,76-16,77-16
20,d5,16,3,1,2,vi,2,1,0,1,0,p,74,71,0.5,65-16,66-16,67-16,68-16,69-16,70-16,71-16,72-16,73-16,74-16,75-16,76-16
21,c5,16,3,1,3,viihalfdim7,7,0,0,1,0,p,72,69,0.5,63-16,64-16,65-16,66-16,67-16,68-16,69-16,70-16,71-16,72-16,73-16,74-16
22,bb4,16,3,1,4,I,5,0,0,1,0,p,70,67,0.5,61-16,62-16,63-16,64-16,65-16,66-16,67-16,68-16,69-16,70-16,71-16,72-16
23,ab4,16,3,2,1,ii,3,0,0,1,0,c,68,65,0.5,59-16,60-16,61-16,62-16,63-16,64-16,65-16,66-16,67-16,68-16,69-16,70-16
24,g4,16,3,2,2,I6,3,0,0,1,0,c,67,64,0.5,58-16,59-16,60-16,61-16,62-16,63-16,64-16,65-16,66-16,67-16,68-16,69-16
25,c5,16,3,2,3,ii6,5,0,0,1,0,c,72,69,0.5,63-16,64-16,65-16,66-16,67-16,68-16,69-16,70-16,71-16,72-16,73-16,74-16
26,ab4,16,3,2,4,ii,3,0,0,1,0,c,68,65,0.5,59-16,60-16,61-16,62-16,63-16,64-16,65-16,66-16,67-16,68-16,69-16,70-16
27,g4,4,3,3,1,viihalfdim7/V,7,0,0,1,0,f,67,64,2.0,58-4,59-4,60-4,61-4,62-4,63-4,64-4,65-4,66-4,67-4,68-4,69-4
28,f4,16,3,4,1,V,5,0,0,1,0,p,65,62,0.5,56-16,57-16,58-16,59-16,60-16,61-16,62-16,63-16,64-16,65-16,66-16,67-16
