,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s)
0,c5,4d,1,1,1,i,3,0,0,0,0,a,72,72,0.4891304347826087
1,b4,8,1,2,3,V42,5,0,0,0,0,p,71,71,0.16304347826086957
2,a4,4d,2,1,1,i,1,0,0,0,0,a,69,69,0.4891304347826087
3,g#4,8,2,2,3,V64,3,0,0,0,0,p,68,68,0.16304347826086957
4,a4,4d,3,1,1,i,1,0,0,0,0,a,69,69,0.4891304347826087
5,b4,8,3,2,3,V6,5,0,0,0,0,p,71,71,0.16304347826086957
6,d5,8,4,1,1,i,4,1,0,0,0,a,74,74,0.16304347826086957
7,c5,8,4,1,3,i,3,0,0,0,0,p,72,72,0.16304347826086957
8,b4,4,4,2,1,V,5,0,0,0,0,p,71,71,0.32608695652173914
9,d5,4d,5,1,1,iv6,1,0,1,0,0,a,74,74,0.4891304347826087
10,c5,8,5,2,3,i64,3,0,1,0,0,p,72,72,0.16304347826086957
11,f5,4d,6,1,1,iv6,3,0,1,0,0,a,77,77,0.4891304347826087
12,e5,8,6,2,3,i6,5,0,1,0,0,p,76,76,0.16304347826086957
13,d5,4d,7,1,1,viidim6,5,0,1,0,0,p,74,74,0.4891304347826087
14,c5,8,7,2,3,i,3,0,1,0,0,d,72,72,0.16304347826086957
15,c5,8,8,1,1,V,6,1,1,0,0,d,72,72,0.16304347826086957
16,b4,8,8,1,3,V,5,0,1,0,0,d,71,71,0.16304347826086957
17,g4,8,8,2,1,V,3,0,1,0,0,d,67,67,0.16304347826086957
18,e4,8,8,2,3,V,1,0,1,0,0,d,64,64,0.16304347826086957
