,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s),pitch_dur-6,pitch_dur-5,pitch_dur-4,pitch_dur-3,pitch_dur-2,pitch_dur-1,pitch_dur0,pitch_dur1,pitch_dur2,pitch_dur3,pitch_dur4,pitch_dur5
0,c5,8,1,1,1,I,1,0,0,0,0,p,72,72,0.5172413793103449,66-8,67-8,68-8,69-8,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8
1,c5,8,1,1,3,I,1,0,0,0,0,p,72,72,0.5172413793103449,66-8,67-8,68-8,69-8,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8
2,c5,8,1,2,1,I,1,0,0,0,0,p,72,72,0.5172413793103449,66-8,67-8,68-8,69-8,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8
3,c5,8,1,2,3,I,1,0,0,0,0,p,72,72,0.5172413793103449,66-8,67-8,68-8,69-8,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8
4,b4,8,1,3,1,V43,3,0,0,0,0,mp,71,71,0.5172413793103449,65-8,66-8,67-8,68-8,69-8,70-8,71-8,72-8,73-8,74-8,75-8,76-8
5,f5,8,1,3,3,V43,7,0,0,0,0,mp,77,77,0.5172413793103449,71-8,72-8,73-8,74-8,75-8,76-8,77-8,78-8,79-8,80-8,81-8,82-8
6,f5,4,1,4,1,V65,7,0,0,0,0,mp,77,77,1.0344827586206897,71-4,72-4,73-4,74-4,75-4,76-4,77-4,78-4,79-4,80-4,81-4,82-4
7,e5,4,2,1,1,I,3,0,0,0,0,p,76,76,1.0344827586206897,70-4,71-4,72-4,73-4,74-4,75-4,76-4,77-4,78-4,79-4,80-4,81-4
8,g5,16,2,2,1,ii6,4,1,0,0,0,a,79,79,0.25862068965517243,73-16,74-16,75-16,76-16,77-16,78-16,79-16,80-16,81-16,82-16,83-16,84-16
9,f5,16,2,2,2,ii6,3,0,0,0,0,p,77,77,0.25862068965517243,71-16,72-16,73-16,74-16,75-16,76-16,77-16,78-16,79-16,80-16,81-16,82-16
10,e5,16,2,2,3,ii6,2,1,0,0,0,p,76,76,0.25862068965517243,70-16,71-16,72-16,73-16,74-16,75-16,76-16,77-16,78-16,79-16,80-16,81-16
11,d5,16,2,2,4,ii6,1,0,0,0,0,p,74,74,0.25862068965517243,68-16,69-16,70-16,71-16,72-16,73-16,74-16,75-16,76-16,77-16,78-16,79-16
12,c5,16,2,3,1,V,4,1,0,0,0,p,72,72,0.25862068965517243,66-16,67-16,68-16,69-16,70-16,71-16,72-16,73-16,74-16,75-16,76-16,77-16
13,b4,16,2,3,2,V,3,0,0,0,0,p,71,71,0.25862068965517243,65-16,66-16,67-16,68-16,69-16,70-16,71-16,72-16,73-16,74-16,75-16,76-16
14,a4,16,2,3,3,V,2,1,0,0,0,p,69,69,0.25862068965517243,63-16,64-16,65-16,66-16,67-16,68-16,69-16,70-16,71-16,72-16,73-16,74-16
15,g4,16,2,3,4,V,1,0,0,0,0,c,67,67,0.25862068965517243,61-16,62-16,63-16,64-16,65-16,66-16,67-16,68-16,69-16,70-16,71-16,72-16
16,a4,16,2,4,1,V,2,1,0,0,1,c,69,69,0.25862068965517243,63-16,64-16,65-16,66-16,67-16,68-16,69-16,70-16,71-16,72-16,73-16,74-16
17,g4,16,2,4,2,V,1,0,0,0,0,c,67,67,0.25862068965517243,61-16,62-16,63-16,64-16,65-16,66-16,67-16,68-16,69-16,70-16,71-16,72-16
