,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s)
0,r,8,1,1,1,I,0,0,0,0,0,p,0,0,0.625
1,bb5,8,1,2,1,I,5,0,0,0,0,p,82,79,0.625
2,ab5,8,1,3,1,I,4,1,0,0,0,p,80,77,0.625
3,g5,8,2,1,1,I,3,0,0,0,0,c,79,76,0.625
4,f5,8,2,2,1,I,2,1,0,0,0,c,77,74,0.625
5,eb5,8,2,3,1,I,1,0,0,0,0,c,75,72,0.625
6,d5,8,3,1,1,I,7,1,0,0,0,c,74,71,0.625
7,c5,8,3,2,1,I,6,1,0,0,0,c,72,69,0.625
8,bb4,8,3,3,1,I,5,0,0,0,0,c,70,67,0.625
9,bb4,2,4,1,1,V6,1,0,0,0,0,f,70,67,2.5
10,c5,8,5,2,1,vi64,1,0,0,0,0,d,72,69,0.625
11,d5,8,5,3,1,vi64,2,1,0,0,0,d,74,71,0.625
12,eb5,4,6,1,1,vi6,3,0,0,1,0,p,75,72,1.25
13,c5,8,6,3,1,IV,3,0,0,1,0,p,72,69,0.625
14,bb4,4,7,1,1,V7,1,0,0,1,0,p,70,67,1.25
15,ab4,16,7,3,1,V7,7,0,0,1,1,p,68,65,0.3125
16,g4,32,7,3,3,V7,6,1,0,1,0,p,67,64,0.15625
17,ab4,32,7,3,4,V7,7,0,0,1,0,p,68,65,0.15625
18,g4,8,8,1,1,I,3,0,0,1,0,p,67,64,0.625
