,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s),pitch_dur-6,pitch_dur-5,pitch_dur-4,pitch_dur-3,pitch_dur-2,pitch_dur-1,pitch_dur0,pitch_dur1,pitch_dur2,pitch_dur3,pitch_dur4,pitch_dur5
0,e5,8d,1,1,1,I,3,0,0,0,0,a,76,76,0.5113636363636364,70-8d,71-8d,72-8d,73-8d,74-8d,75-8d,76-8d,77-8d,78-8d,79-8d,80-8d,81-8d
1,f5,32,1,1,4,I,4,1,0,0,0,p,77,77,0.08522727272727272,71-32,72-32,73-32,74-32,75-32,76-32,77-32,78-32,79-32,80-32,81-32,82-32
2,g5,32,1,1,4&,I,5,0,0,0,0,p,79,79,0.08522727272727272,73-32,74-32,75-32,76-32,77-32,78-32,79-32,80-32,81-32,82-32,83-32,84-32
3,c5,8,1,2,1,I,1,0,0,0,0,p,72,72,0.3409090909090909,66-8,67-8,68-8,69-8,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8
4,d5,8,1,2,3,I,2,1,0,0,0,p,74,74,0.3409090909090909,68-8,69-8,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8,78-8,79-8
5,d5,8,2,1,1,I,2,1,0,0,0,a,74,74,0.3409090909090909,68-8,69-8,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8,78-8,79-8
6,f5,16,2,1,3,I,4,1,0,0,0,p,77,77,0.17045454545454544,71-16,72-16,73-16,74-16,75-16,76-16,77-16,78-16,79-16,80-16,81-16,82-16
7,e5,16,2,1,4,I,3,0,0,0,0,p,76,76,0.17045454545454544,70-16,71-16,72-16,73-16,74-16,75-16,76-16,77-16,78-16,79-16,80-16,81-16
8,d5,4,2,2,1,V,5,0,0,0,0,p,74,74,0.6818181818181818,68-4,69-4,70-4,71-4,72-4,73-4,74-4,75-4,76-4,77-4,78-4,79-4
9,e5,8d,3,1,1,I,3,0,1,0,0,a,76,76,0.5113636363636364,70-8d,71-8d,72-8d,73-8d,74-8d,75-8d,76-8d,77-8d,78-8d,79-8d,80-8d,81-8d
10,f5,32,3,1,4,I,4,1,1,0,0,p,77,77,0.08522727272727272,71-32,72-32,73-32,74-32,75-32,76-32,77-32,78-32,79-32,80-32,81-32,82-32
11,g5,32,3,1,4&,I,5,0,1,0,0,p,79,79,0.08522727272727272,73-32,74-32,75-32,76-32,77-32,78-32,79-32,80-32,81-32,82-32,83-32,84-32
12,c5,8,3,2,1,I,1,0,1,0,0,p,72,72,0.3409090909090909,66-8,67-8,68-8,69-8,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8
13,d5,8,3,2,3,I,2,1,1,0,0,p,74,74,0.3409090909090909,68-8,69-8,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8,78-8,79-8
14,f5,8,4,1,1,I,4,1,1,0,0,a,77,77,0.3409090909090909,71-8,72-8,73-8,74-8,75-8,76-8,77-8,78-8,79-8,80-8,81-8,82-8
15,e5,8,4,1,3,I,3,0,1,0,1,p,76,76,0.3409090909090909,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8,78-8,79-8,80-8,81-8
16,d5,4,4,2,1,V,5,0,1,0,0,p,74,74,0.6818181818181818,68-4,69-4,70-4,71-4,72-4,73-4,74-4,75-4,76-4,77-4,78-4,79-4
