,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s),pitch_dur-6,pitch_dur-5,pitch_dur-4,pitch_dur-3,pitch_dur-2,pitch_dur-1,pitch_dur0,pitch_dur1,pitch_dur2,pitch_dur3,pitch_dur4,pitch_dur5
0,b4,8,1,1,1,I,3,0,0,0,0,p,71,76,0.625,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8,78-8,79-8,80-8,81-8
1,c5,16d,1,1,3,I,4,1,0,0,1,p,72,77,0.46875,71-16d,72-16d,73-16d,74-16d,75-16d,76-16d,77-16d,78-16d,79-16d,80-16d,81-16d,82-16d
2,b4,32,1,1,4&,I,3,0,0,0,0,p,71,76,0.15625,70-32,71-32,72-32,73-32,74-32,75-32,76-32,77-32,78-32,79-32,80-32,81-32
3,a4,8,1,2,1,V6,5,0,0,0,0,c,69,74,0.625,68-8,69-8,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8,78-8,79-8
4,b4,8,1,2,3,I,3,0,0,0,0,c,71,76,0.625,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8,78-8,79-8,80-8,81-8
5,c5,8,2,1,1,V43,7,0,0,0,0,d,72,77,0.625,71-8,72-8,73-8,74-8,75-8,76-8,77-8,78-8,79-8,80-8,81-8,82-8
6,d5,8,2,1,3,V65,1,0,0,0,0,d,74,79,0.625,73-8,74-8,75-8,76-8,77-8,78-8,79-8,80-8,81-8,82-8,83-8,84-8
7,c5,16,2,2,1,I,4,1,0,0,0,d,72,77,0.3125,71-16,72-16,73-16,74-16,75-16,76-16,77-16,78-16,79-16,80-16,81-16,82-16
8,b4,16,2,2,2,I,3,0,0,0,0,d,71,76,0.3125,70-16,71-16,72-16,73-16,74-16,75-16,76-16,77-16,78-16,79-16,80-16,81-16
9,a4,16,2,2,3,I,2,1,0,0,0,d,69,74,0.3125,68-16,69-16,70-16,71-16,72-16,73-16,74-16,75-16,76-16,77-16,78-16,79-16
10,g4,16,2,2,4,I,1,0,0,0,0,d,67,72,0.3125,66-16,67-16,68-16,69-16,70-16,71-16,72-16,73-16,74-16,75-16,76-16,77-16
11,c5,8,3,1,1,IV6,1,0,0,1,0,f,72,77,0.625,71-8,72-8,73-8,74-8,75-8,76-8,77-8,78-8,79-8,80-8,81-8,82-8
12,b4,8,3,1,3,I64,3,0,0,1,0,f,71,76,0.625,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8,78-8,79-8,80-8,81-8
13,e5,8,3,2,1,IV,3,0,0,1,0,f,76,81,0.625,75-8,76-8,77-8,78-8,79-8,80-8,81-8,82-8,83-8,84-8,85-8,86-8
14,r,16,3,2,3,0,0,0,0,1,0,f,0,0,0.3125,0-16,0-16,0-16,0-16,0-16,0-16,0-16,0-16,0-16,0-16,0-16,0-16
15,d5,16,3,2,4,I6,5,0,0,1,0,p,74,79,0.3125,73-16,74-16,75-16,76-16,77-16,78-16,79-16,80-16,81-16,82-16,83-16,84-16
16,c5,16,4,1,1,V65,7,0,0,1,0,p,72,77,0.3125,71-16,72-16,73-16,74-16,75-16,76-16,77-16,78-16,79-16,80-16,81-16,82-16
17,a4,16,4,1,2,V65,5,0,0,1,0,p,69,74,0.3125,68-16,69-16,70-16,71-16,72-16,73-16,74-16,75-16,76-16,77-16,78-16,79-16
18,b4,16,4,1,3,I,3,0,0,1,0,p,71,76,0.3125,70-16,71-16,72-16,73-16,74-16,75-16,76-16,77-16,78-16,79-16,80-16,81-16
19,g4,16,4,1,4,I,1,0,0,1,0,p,67,72,0.3125,66-16,67-16,68-16,69-16,70-16,71-16,72-16,73-16,74-16,75-16,76-16,77-16
20,b4,8,4,2,1,I64,3,0,0,1,0,p,71,76,0.625,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8,78-8,79-8,80-8,81-8
21,a4,8,4,2,3,V,5,0,0,1,0,p,69,74,0.625,68-8,69-8,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8,78-8,79-8
