,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s)
0,bb4,4,1,1,1,I,1,0,0,0,0,p,70,72,1.4285714285714286
1,d5,8d,1,2,1,I,3,0,0,0,0,p,74,76,1.0714285714285714
2,eb5,16,1,2,4,I,4,1,0,0,1,p,75,77,0.35714285714285715
3,e5,8d,1,3,1,V6,7,1,0,0,0,d,76,78,1.0714285714285714
4,f5,16,1,3,4,V6,1,0,0,0,0,d,77,79,0.35714285714285715
5,c5,8,1,4,1,V6,5,0,0,0,0,pp,72,74,0.7142857142857143
6,r,8,1,4,3,V6,0,0,0,0,0,pp,0,0,0.7142857142857143
7,eb5,8d,2,1,1,IV6,1,0,0,0,0,c,75,77,1.0714285714285714
8,f5,16,2,1,4,IV6,2,1,0,0,1,c,77,79,0.35714285714285715
9,g5,8d,2,2,1,IV6,3,0,0,0,0,c,79,81,1.0714285714285714
10,a5,16,2,2,4,IV6,4,1,0,0,1,c,81,83,0.35714285714285715
11,a5,8d,2,3,1,I6,7,1,0,0,0,d,81,83,1.0714285714285714
12,bb5,16,2,3,4,I6,1,0,0,0,0,d,82,84,0.35714285714285715
13,f5,8,2,4,1,I6,5,0,0,0,0,d,77,79,0.7142857142857143
14,r,8,2,4,3,I6,0,0,0,0,0,p,0,0,0.7142857142857143
15,g5,8d,3,1,1,ii6,5,0,0,1,0,p,79,81,1.0714285714285714
16,ab5,32,3,1,4,ii6,6,1,0,1,0,p,80,82,0.17857142857142858
17,g5,32,3,1,4&,ii6,5,0,0,1,0,p,79,81,0.17857142857142858
18,f5,16,3,2,1,ii6,4,1,0,1,0,p,77,79,0.35714285714285715
19,eb5,16,3,2,2,ii6,3,0,0,1,0,p,75,77,0.35714285714285715
20,d5,16,3,2,3,ii6,2,1,0,1,0,p,74,76,0.35714285714285715
21,c5,16,3,2,4,ii6,1,0,0,1,0,p,72,74,0.35714285714285715
22,e5,16,3,3,1,I6,4,1,0,1,0,a,76,78,0.35714285714285715
23,f5,8,3,3,2,I6,5,0,0,1,0,p,77,79,0.7142857142857143
24,g5,32,3,3,4,I6,6,1,0,1,0,p,79,81,0.17857142857142858
25,f5,32,3,3,4&,I6,5,0,0,1,0,p,77,79,0.17857142857142858
26,eb5,16,3,4,1,I6,4,1,0,1,0,p,75,77,0.35714285714285715
27,d5,16,3,4,2,I6,3,0,0,1,0,p,74,76,0.35714285714285715
28,c5,16,3,4,3,I6,2,1,0,1,0,p,72,74,0.35714285714285715
29,bb4,16,3,4,4,I6,1,0,0,1,0,p,70,72,0.35714285714285715
30,f5,16,4,1,1,V65,1,0,0,1,0,a,77,79,0.35714285714285715
31,eb5,8,4,1,2,V65,7,0,0,1,0,p,75,77,0.7142857142857143
32,c5,16,4,1,4,V65,5,0,0,1,0,p,72,74,0.35714285714285715
33,eb5,16,4,2,1,I,4,1,0,1,0,a,75,77,0.35714285714285715
34,d5,8,4,2,2,I,3,0,0,1,0,p,74,76,0.7142857142857143
35,bb4,16,4,2,4,I,1,0,0,1,0,p,70,72,0.35714285714285715
36,d5,8d,4,3,1,I64,3,0,0,1,0,p,74,76,1.0714285714285714
37,eb5,32,4,3,4,I64,4,1,0,1,0,p,75,77,0.17857142857142858
38,d5,32,4,3,4&,I64,3,0,0,1,0,p,74,76,0.17857142857142858
39,c5,16,4,4,1,V,5,0,0,1,0,p,72,74,0.35714285714285715
40,f5,16,4,4,2,V,1,0,0,1,0,p,77,79,0.35714285714285715
41,eb5,16,4,4,3,V7,7,0,0,1,0,p,75,77,0.35714285714285715
42,c5,16,4,4,4,V7,5,0,0,1,0,p,72,74,0.35714285714285715
