,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s)
0,c5,2,1,1,1,I,1,0,0,0,1,a,72,72,0.8333333333333334
1,g4,2,1,3,1,V,1,0,0,0,0,a,67,67,0.8333333333333334
2,e5,4d,2,1,1,V,6,1,0,0,0,a,76,76,0.625
3,f5,16,2,2,3,V,7,0,0,0,0,f,77,77,0.10416666666666667
4,d5,16,2,2,4,V,5,0,0,0,0,f,74,74,0.10416666666666667
5,c5,4,2,3,1,I,1,0,0,0,0,f,72,72,0.4166666666666667
6,r,4,2,4,1,0,0,0,0,0,0,f,0,0,0.4166666666666667
7,g5,4,3,1,1,I6,5,0,0,0,0,p,79,79,0.4166666666666667
8,g5,4,3,2,1,I6,5,0,0,0,0,p,79,79,0.4166666666666667
9,r,4,3,3,1,V65/ii,0,0,0,0,0,p,0,0,0.4166666666666667
10,a5,4,3,4,1,V65/ii,1,0,0,0,0,p,81,81,0.4166666666666667
11,g5,8,4,1,1,ii,4,1,0,0,0,a,79,79,0.20833333333333334
12,f5,8,4,1,3,ii,3,0,0,0,0,p,77,77,0.20833333333333334
13,f5,4,4,2,1,ii,3,0,0,0,0,p,77,77,0.4166666666666667
14,r,4,4,3,1,V6,0,0,0,0,0,p,0,0,0.4166666666666667
15,g5,4,4,4,1,V6,1,0,0,0,0,p,79,79,0.4166666666666667
16,f5,8,5,1,1,I,4,1,0,0,0,a,77,77,0.20833333333333334
17,e5,8,5,1,3,I,3,0,0,0,0,p,76,76,0.20833333333333334
18,e5,4,5,2,1,I,3,0,0,0,0,p,76,76,0.4166666666666667
19,r,4,5,3,1,I,0,0,0,0,0,p,0,0,0.4166666666666667
20,g5,8,5,4,1,I,5,0,0,0,0,p,79,79,0.20833333333333334
21,e5,8,5,4,3,I,3,0,0,0,0,p,76,76,0.20833333333333334
22,c#5,8,6,1,1,ii6,7,1,0,1,0,a,73,73,0.20833333333333334
23,d5,8,6,1,3,ii6,1,0,0,1,0,p,74,74,0.20833333333333334
24,f5,8,6,2,1,ii6,3,0,0,1,0,p,77,77,0.20833333333333334
25,e5,8,6,2,3,ii6,2,1,0,1,0,p,76,76,0.20833333333333334
26,c#5,8,6,3,1,ii6,7,1,0,1,0,a,73,73,0.20833333333333334
27,d5,8,6,3,3,ii6,1,0,0,1,0,c,74,74,0.20833333333333334
28,f5,8,6,4,1,ii6,3,0,0,1,0,c,77,77,0.20833333333333334
29,e5,8,6,4,3,ii6,2,1,0,1,0,c,76,76,0.20833333333333334
30,c#5,8,7,1,1,ii6,7,1,0,1,0,a,73,73,0.20833333333333334
31,d5,8,7,1,3,ii6,1,0,0,1,0,c,74,74,0.20833333333333334
32,f5,8,7,2,1,ii6,3,0,0,1,0,c,77,77,0.20833333333333334
33,a5,8,7,2,3,ii6,5,0,0,1,0,c,81,81,0.20833333333333334
34,g5,8,7,3,1,I64,5,0,0,1,0,d,79,79,0.20833333333333334
35,e5,8,7,3,3,I64,3,0,0,1,0,d,76,76,0.20833333333333334
36,f5,8,7,4,1,V,7,0,0,1,0,d,77,77,0.20833333333333334
37,d5,8,7,4,3,V,5,0,0,1,0,d,74,74,0.20833333333333334
