,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s)
0,bb4,8,1,1,1,I,5,0,0,0,0,p,70,67,0.7894736842105263
1,g4,8,1,1,2,I,3,0,0,0,0,p,67,64,0.7894736842105263
2,f4,8,1,1,3,V7/vi,5,0,0,0,0,p,65,62,0.7894736842105263
3,eb4,8,2,1,1,vi,3,0,0,0,0,c,63,60,0.7894736842105263
4,c5,8,2,1,2,IV,3,0,0,0,0,c,72,69,0.7894736842105263
5,r,8,2,1,3,0,0,0,0,0,0,c,0,0,0.7894736842105263
6,ab4,8,3,1,1,V65,7,0,0,1,0,dynamic,68,65,0.7894736842105263
7,g4,8,3,1,2,I,3,0,0,1,0,d,67,64,0.7894736842105263
8,f4,8,3,1,3,V6/V,1,0,0,1,0,p,65,62,0.7894736842105263
9,eb4,8,4,1,1,I64,1,0,0,1,0,p,63,60,0.7894736842105263
10,d4,8,4,1,2,V,3,0,0,1,0,p,62,59,0.7894736842105263
11,r,8,4,1,3,0,0,0,0,1,0,p,0,0,0.7894736842105263
