,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s),pitch_dur-6,pitch_dur-5,pitch_dur-4,pitch_dur-3,pitch_dur-2,pitch_dur-1,pitch_dur0,pitch_dur1,pitch_dur2,pitch_dur3,pitch_dur4,pitch_dur5
0,bb4,2,1,1,1,I,1,0,0,0,0,p,70,72,0.9090909090909091,66-2,67-2,68-2,69-2,70-2,71-2,72-2,73-2,74-2,75-2,76-2,77-2
1,f4,4,1,3,1,I,5,0,0,0,0,p,65,67,0.45454545454545453,61-4,62-4,63-4,64-4,65-4,66-4,67-4,68-4,69-4,70-4,71-4,72-4
2,d4,2,2,1,1,I,3,0,0,0,0,p,62,64,0.9090909090909091,58-2,59-2,60-2,61-2,62-2,63-2,64-2,65-2,66-2,67-2,68-2,69-2
3,f4,4,2,3,1,I,5,0,0,0,0,p,65,67,0.45454545454545453,61-4,62-4,63-4,64-4,65-4,66-4,67-4,68-4,69-4,70-4,71-4,72-4
4,bb4,2,3,1,1,I,1,0,0,0,0,p,70,72,0.9090909090909091,66-2,67-2,68-2,69-2,70-2,71-2,72-2,73-2,74-2,75-2,76-2,77-2
5,d5,4,3,3,1,I,3,0,0,0,0,p,74,76,0.45454545454545453,70-4,71-4,72-4,73-4,74-4,75-4,76-4,77-4,78-4,79-4,80-4,81-4
6,f5,2,4,1,1,I,5,0,0,0,0,p,77,79,0.9090909090909091,73-2,74-2,75-2,76-2,77-2,78-2,79-2,80-2,81-2,82-2,83-2,84-2
7,bb5,8,4,3,1,I,1,0,0,0,0,p,82,84,0.22727272727272727,78-8,79-8,80-8,81-8,82-8,83-8,84-8,85-8,86-8,87-8,88-8,89-8
8,d5,8,4,3,3,I,3,0,0,0,0,p,74,76,0.22727272727272727,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8,78-8,79-8,80-8,81-8
9,f5,8,5,1,1,V7,1,0,0,1,0,p,77,79,0.22727272727272727,73-8,74-8,75-8,76-8,77-8,78-8,79-8,80-8,81-8,82-8,83-8,84-8
10,eb5,8,5,1,3,V7,7,0,0,1,0,p,75,77,0.22727272727272727,71-8,72-8,73-8,74-8,75-8,76-8,77-8,78-8,79-8,80-8,81-8,82-8
11,d5,8,5,2,1,V7,6,1,0,1,0,p,74,76,0.22727272727272727,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8,78-8,79-8,80-8,81-8
12,c5,8,5,2,3,V7,5,0,0,1,0,p,72,74,0.22727272727272727,68-8,69-8,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8,78-8,79-8
13,bb4,8,5,3,1,V7,4,1,0,1,0,p,70,72,0.22727272727272727,66-8,67-8,68-8,69-8,70-8,71-8,72-8,73-8,74-8,75-8,76-8,77-8
14,a4,8,5,3,3,V7,3,0,0,1,0,p,69,71,0.22727272727272727,65-8,66-8,67-8,68-8,69-8,70-8,71-8,72-8,73-8,74-8,75-8,76-8
15,g4,8,6,1,1,V7,2,1,0,1,0,p,67,69,0.22727272727272727,63-8,64-8,65-8,66-8,67-8,68-8,69-8,70-8,71-8,72-8,73-8,74-8
16,f4,8,6,1,3,V7,1,0,0,1,0,p,65,67,0.22727272727272727,61-8,62-8,63-8,64-8,65-8,66-8,67-8,68-8,69-8,70-8,71-8,72-8
