,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s)
0,d5,4,1,1,1,I,1,0,0,0,0,f,74,72,0.45454545454545453
1,r,4,1,2,1,0,0,0,0,0,0,f,0,0,0.45454545454545453
2,g5,16,1,3,1,I,4,1,0,0,0,f,79,77,0.11363636363636363
3,f#5,16,1,3,2,I,3,0,0,0,0,f,78,76,0.11363636363636363
4,e5,16,1,3,3,I,2,1,0,0,0,f,76,74,0.11363636363636363
5,f#5,16,1,3,4,I,3,0,0,0,0,f,78,76,0.11363636363636363
6,a5,16,1,4,1,ii,4,1,0,0,0,f,81,79,0.11363636363636363
7,g5,16,1,4,2,ii,3,0,0,0,0,f,79,77,0.11363636363636363
8,f#5,16,1,4,3,ii,2,1,0,0,0,f,78,76,0.11363636363636363
9,g5,16,1,4,4,ii,3,0,0,0,0,f,79,77,0.11363636363636363
10,a5,4,2,1,1,I6,5,0,0,0,0,f,81,79,0.45454545454545453
11,r,4,2,2,1,0,0,0,0,0,0,f,0,0,0.45454545454545453
12,a5,8,2,3,1,I,5,0,0,0,0,p,81,79,0.22727272727272727
13,b5,8,2,3,3,I,6,1,0,0,0,c,83,81,0.22727272727272727
14,c#6,8,2,4,1,I,7,1,0,0,0,c,85,83,0.22727272727272727
15,d6,8,2,4,3,I,1,0,0,0,0,c,86,84,0.22727272727272727
16,a5,4,3,1,1,I,5,0,0,1,0,d,81,79,0.45454545454545453
17,f#5,4,3,2,1,I,3,0,0,1,0,d,78,76,0.45454545454545453
18,a5,16,3,3,1,ii7,4,1,0,1,0,p,81,79,0.11363636363636363
19,g5,16,3,3,2,ii7,3,0,0,1,0,p,79,77,0.11363636363636363
20,f#5,16,3,3,3,ii7,2,1,0,1,0,p,78,76,0.11363636363636363
21,g5,16,3,3,4,ii7,3,0,0,1,0,p,79,77,0.11363636363636363
22,a5,8,3,4,1,V,1,0,0,1,0,p,81,79,0.22727272727272727
23,g5,8,3,4,3,V7,7,0,0,1,0,p,79,77,0.22727272727272727
24,e#5,8,4,1,1,I,2,1,0,1,0,p,77,75,0.22727272727272727
25,f#5,8,4,1,3,I,3,0,0,1,0,p,78,76,0.22727272727272727
