,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s)
0,a4,2,1,1,1,I,1,0,0,0,1,a,69,72,1.0344827586206897
1,e4,4,1,3,1,I,5,0,0,0,0,f,64,67,0.5172413793103449
2,c5,8,2,1,1,I,3,0,0,0,0,a,72,75,0.25862068965517243
3,d5,16,2,1,3,I,4,1,0,0,0,f,74,77,0.12931034482758622
4,g5,16,2,1,4,I,2,1,0,0,0,f,79,82,0.12931034482758622
5,a4,4,2,2,1,I,1,0,0,0,0,f,69,72,0.5172413793103449
6,r,4,2,3,1,0,0,0,0,0,0,f,0,0,0.5172413793103449
7,e5,8,3,1,1,I,5,0,0,1,0,a,76,79,0.25862068965517243
8,f5,16,3,1,3,I,6,1,0,1,0,p,77,80,0.12931034482758622
9,d5,16,3,1,4,I,4,1,0,1,0,p,74,77,0.12931034482758622
10,c5,4,3,2,1,I,3,0,0,1,0,p,72,75,0.5172413793103449
11,c6,4,3,3,1,vi,3,0,0,1,0,p,84,87,0.5172413793103449
12,d#5,4,4,1,1,V7/V,3,0,0,1,0,d,75,78,0.5172413793103449
13,e5,4d,4,2,1,V,1,0,0,1,0,d,76,79,0.7758620689655173
