note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
a4,16d,1,1,1,I,3,0,0,0,0,p
f4,32,1,1,2&,I,1,0,0,0,0,c
bb4,16d,1,1,3,I,4,1,0,0,0,c
g4,32d,1,1,4&,I,2,1,0,0,0,c
c5,8d,1,2,1,I,5,0,0,0,0,f
a4,16,1,2,4,I,3,0,0,0,0,p
f4,8,1,3,1,I,1,0,0,0,0,p
r,8,1,3,3,0,0,0,0,0,0,p
d5,16d,2,1,1,IV,3,0,0,0,0,p
bb4,32,2,1,2&,IV,1,0,0,0,0,c
e5,16d,2,1,3,V,3,0,0,0,0,c
c5,32,2,1,4&,V,1,0,0,0,0,c
f5,8d,2,2,1,I6,1,0,0,0,0,f
c5,16,2,2,4,I6,5,0,0,0,0,p
a4,8,2,3,1,I6,3,0,0,0,0,p
r,8,2,3,3,0,0,0,0,0,0,p
f5,16d,3,1,1,I,1,0,0,1,0,f
c5,32,3,1,2&,I,5,0,0,1,0,f
g5,16d,3,1,3,V,5,0,0,1,0,f
e5,32,3,1,4&,V,3,0,0,1,0,f
a5,16d,3,2,1,I,3,0,0,1,0,a
g5,32,3,2,2&,I,2,1,0,1,0,f
f5,16d,3,2,3,I,1,0,0,1,0,f
e5,32,3,2,4&,I,7,1,0,1,0,f
f5,16d,3,3,1,I,1,0,0,1,0,f
c5,32,3,3,2&,I,5,0,0,1,0,f
d5,16d,3,3,3,vi6,1,0,0,1,0,f
a4,32,3,3,4&,vi6,5,0,0,1,0,f
c5,8,4,1,1,ii,4,1,0,1,0,a
bb4,8,4,1,3,V7,7,0,0,1,1,f
a4,8,4,2,1,I,3,0,0,1,0,f
