note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
bb4,5,1,1,1,I,5,0,0,0,0,p
g4,8,1,2,1,I,3,0,0,0,0,p
f4,8,1,2,3,V,5,0,0,0,0,p
eb4,8,1,3,1,I,1,0,0,0,0,p
bb3,8,1,3,3,I,5,0,0,0,0,p
eb4,8,1,4,1,I,1,0,0,0,0,p
f4,8,1,4,3,V,5,0,0,0,0,p
g4,8,2,1,1,I,3,0,0,0,0,p
ab4,8,2,1,3,IV6,1,0,0,0,0,p
bb4,8,2,2,1,I6,5,0,0,0,0,p
c5,8,2,2,3,IV,3,0,0,0,0,p
g4,8d,2,3,1,I64,3,0,0,0,0,p
ab4,16,2,3,4,I64,4,1,0,0,0,p
f4,16,2,4,1,V,5,0,0,0,0,p
g4,16,2,4,2,V,6,1,0,0,0,p
ab4,16,2,4,3,V7,7,0,0,0,0,p
a4,16,2,4,4,V7,7,1,0,0,0,p
bb5,4,3,1,1,I6,5,0,1,0,0,p
g5,8,3,2,1,I,3,0,1,0,0,p
f5,8,3,2,3,V,5,0,1,0,0,p
eb5,8,3,3,1,I6,1,0,1,0,0,p
f5,8,3,3,3,V,5,0,1,0,0,p
g5,8,3,4,1,I,3,0,1,0,0,p
ab5,8,3,4,3,IV6,1,0,1,0,0,p
bb5,8,4,1,1,I6,5,0,1,0,0,p
b5,32,4,1,3,ii6,4,1,1,0,0,p
c6,32,4,1,3&,ii6,5,0,1,0,0,p
ab5,32,4,1,4,ii6,3,0,1,0,0,p
f5,32,4,1,4&,ii6,1,0,1,0,0,p
eb5,8,4,2,1,I64,1,0,1,0,0,p
g5,32,4,2,3,V7,6,1,1,0,0,p
f5,32,4,2,3&,V7,5,0,1,0,0,p
e5,32,4,2,4,V7,4,1,1,0,0,p
f5,32,4,2,4&,V7,5,0,1,0,0,p
f5,4,4,3,1,I,2,1,1,0,0,p
eb5,8,4,4,1,I,1,0,1,0,0,p
r,8,4,4,3,0,0,0,1,0,0,p
