note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
c5,4,1,1,1,I,1,0,0,0,0,a
r,8,1,2,1,I,0,0,0,0,0,f
c5,16,1,2,3,I,1,0,0,0,0,f
b4,16,1,2,4,I,7,1,0,0,0,f
d5,16,1,3,1,I,2,1,0,0,0,f
c5,16,1,3,2,I,1,0,0,0,0,f
e5,16,1,3,3,I,3,0,0,0,0,f
d5,16,1,3,4,I,2,1,0,0,0,f
f5,16,1,4,1,I,4,1,0,0,0,f
e5,16,1,4,2,I,3,0,0,0,0,f
g5,16,1,4,3,I,5,0,0,0,0,f
f5,16,1,4,4,I,4,1,0,0,0,f
a5,4,2,1,1,ii6,5,0,0,0,0,a
g5,16,2,2,1,ii6,4,1,0,0,0,f
f5,16,2,2,2,ii6,3,0,0,0,0,f
e5,16,2,2,3,ii6,2,1,0,0,0,f
d5,16,2,2,4,ii6,1,0,0,0,0,f
c5,16,2,3,1,I,1,0,0,0,1,f
b4,16,2,3,2,I,7,1,0,0,0,f
c5,16,2,3,3,I6,1,0,0,0,0,f
e5,16,2,3,4,I6,3,0,0,0,0,f
d5,16,2,4,1,V42,5,0,0,0,0,f
f5,16,2,4,2,V42,7,0,0,0,0,f
b5,16,2,4,3,V,3,0,0,0,0,f
d5,16,2,4,4,V,5,0,0,0,0,f
c5,4,3,1,1,I,1,0,1,0,0,a
r,8,3,2,1,I,0,0,1,0,0,f
c5,16,3,2,3,I,1,0,1,0,0,f
b4,16,3,2,4,I,7,1,1,0,0,f
d5,16,3,3,1,I,2,1,1,0,0,f
c5,16,3,3,2,I,1,0,1,0,0,f
e5,16,3,3,3,I,3,0,1,0,0,f
d5,16,3,3,4,I,2,1,1,0,0,f
f5,16,3,4,1,I,4,1,1,0,0,f
e5,16,3,4,2,I,3,0,1,0,0,f
g5,16,3,4,3,I,5,0,1,0,0,f
f5,16,3,4,4,I,4,1,1,0,0,f
a5,4,4,1,1,ii6,5,0,1,0,0,a
g5,16,4,2,1,ii6,4,1,1,0,0,f
f5,16,4,2,2,ii6,3,0,1,0,0,f
e5,16,4,2,3,ii6,2,1,1,0,0,f
d5,16,4,2,4,ii6,1,0,1,0,0,f
c5,16,4,3,1,I,1,0,1,0,0,f
b4,16,4,3,2,I,7,1,1,0,0,f
c5,16,4,3,3,I6,1,0,1,0,1,f
e5,16,4,3,4,I6,3,0,1,0,0,f
d5,16,4,4,1,V42,5,0,1,0,0,f
f5,16,4,4,2,V42,7,0,1,0,0,f
b5,16,4,4,3,V,3,0,1,0,0,f
d5,16,4,4,4,V,5,0,1,0,0,f
