note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
e5,4,1,1,1,i,5,0,0,0,1,a
e5,8d,1,2,1,i,5,0,0,0,0,f
e5,16,1,2,4,i,5,0,0,0,0,f
e5,4,1,3,1,i,5,0,0,0,0,f
c5,8d,1,4,1,i,3,0,0,0,0,f
a4,16,1,4,4,i,1,0,0,0,0,f
a4,8,2,1,1,V43,4,1,0,0,0,a
g#4,8,2,1,3,V43,3,0,0,0,0,f
g#4,2,2,2,1,V43,3,0,0,0,0,f
d5,8d,2,4,1,V43,7,0,1,0,0,f
b4,16,2,4,4,V43,5,0,1,0,0,f
e5,4,3,1,1,i,5,0,1,0,0,a
e5,8d,3,2,1,i,5,0,1,0,0,f
e5,16,3,2,4,i,5,0,1,0,0,f
e5,8,3,3,1,i,5,0,1,0,0,f
f5,16,3,3,3,i,6,1,1,0,0,f
e5,16,3,3,4,i,5,0,1,0,0,f
d5,16,3,4,1,i,4,1,1,0,0,f
c5,16,3,4,2,i,3,0,1,0,0,f
b4,16,3,4,3,i,2,1,1,0,0,f
a4,16,3,4,4,i,1,0,1,0,0,f
a4,8,4,1,1,V43,4,1,1,0,0,a
g#4,8,4,1,3,V43,3,0,1,0,0,f
g#4,2,4,2,1,V43,3,0,1,0,0,f
