note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
f5,16,0,3,4,I,5,0,0,0,0,mf
g5,16,0,4,1,I,6,1,0,0,0,mf
f5,16,0,4,2,I,5,0,0,0,0,mf
e5,16,0,4,3,I,4,1,0,0,0,mf
f5,16,0,4,4,I,5,0,0,0,0,mf
bb5,4,1,1,1,I,1,0,0,0,0,a
d5,4,1,2,1,V7/IV,3,0,0,0,0,mf
eb5,4,1,3,1,IV,1,0,0,0,0,mf
g5,4d,1,4,1,ii,5,0,0,0,0,mf
f5,8,2,1,3,V6,1,0,0,0,0,mf
f5,4,2,2,1,V6,1,0,0,0,0,mf
r,8,2,3,1,V6,0,0,0,0,0,mf
f5,8,2,3,3,V,1,0,0,1,0,c
e5,8,2,4,1,vii6/V,3,0,0,1,0,c
eb5,8,2,4,3,V65,7,0,0,1,0,c
d5,8,3,1,1,I,3,0,0,1,0,c
c5,8,3,1,3,vii/vi,5,0,0,1,0,p
bb5,8,3,2,1,vi,3,0,0,1,0,p
b5,8,3,2,3,vii64/ii,1,0,0,1,0,c
c5,8,3,3,1,ii6,1,0,0,1,0,c
d5,8,3,3,3,vii/ii,3,0,0,1,0,c
eb5,8,3,4,1,ii,3,0,0,1,0,c
g5,8,3,4,3,ii,5,0,0,1,0,c
d5,2,4,1,1,I64,3,0,0,1,0,f
c5,8,4,2,1,V,5,0,0,1,0,mf
