note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
c#5,8d,1,1,1,I,3,0,0,0,0,f
d5,64,1,1,4,I,4,1,0,0,0,p
c#5,64,1,1,4e,I,3,0,0,0,0,p
b4,64,1,1,4&,I,2,1,0,0,0,p
c#5,64,1,1,4a,I,3,0,0,0,0,p
e5,8,1,2,1,V43,1,0,0,0,0,p
d5,8,1,2,3,V43,7,0,0,0,0,p
b4,8,1,3,1,V42,5,0,0,0,0,p
g#4,8,1,3,3,V42,3,0,0,0,0,p
a4,8d,2,1,1,I,1,0,0,0,0,c
c#5,32,2,1,4,I,3,0,0,0,0,c
a4,32,2,1,4&,I,1,0,0,0,0,c
e5,2,2,2,1,V65,5,0,0,0,0,c
r,16,3,1,1,I,0,0,1,0,0,mf
a5,16,3,1,2,I,1,0,1,0,0,mf
g#5,16,3,1,3,I,7,1,1,0,0,mf
g5,16,3,1,4,I,7,1,1,0,0,mf
e#5,16,3,2,1,IV,2,1,1,0,0,d
f#5,16,3,2,2,IV,3,0,1,0,0,d
e5,16,3,2,3,IV,2,1,1,0,0,d
d5,16,3,2,4,IV,1,0,1,0,0,d
c#5,16,3,3,1,ii,2,1,1,0,0,p
b4,16,3,3,2,ii,1,0,1,0,0,p
d5,16,3,3,3,ii,3,0,1,0,0,p
f#5,16,3,3,4,ii,5,0,1,0,0,p
a4,8d,4,1,1,I64,1,0,1,0,0,a
b4,32,4,1,4,I64,2,1,1,0,0,p
a4,32,4,1,4&,I64,1,0,1,0,0,p
g#4,16,4,2,1,V,3,0,1,0,0,p
