note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
a4,2,1,1,1,I,1,0,0,0,0,a
b4,8,1,3,1,V7,5,0,0,0,0,f
g#4,16,1,3,4,V7,3,0,0,0,0,f
a4,8,2,1,1,I,1,0,0,0,0,f
e4,8,2,1,3,I,5,0,0,0,0,p
d#4,8,2,2,1,I,4,1,0,0,0,p
e4,8,2,2,3,I,5,0,0,0,0,p
d4,8,2,3,1,I,4,1,0,0,0,p
c#4,8,2,3,3,I,3,0,0,0,0,p
b4,2,3,1,1,V7,5,0,1,0,0,a
c#5,8,3,3,1,I,3,0,1,0,0,f
a4,16,3,3,4,I,1,0,1,0,0,f
d5,8,4,1,1,V65,5,0,1,0,0,f
d4,8,4,1,3,V65,7,0,1,0,0,p
c#4,8,4,2,1,V65,6,1,1,0,0,p
d4,8,4,2,3,V65,7,0,1,0,0,p
c#4,8,4,3,1,V65,6,1,1,0,0,p
b3,8,4,3,3,V65,5,0,1,0,0,p
