note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
f5,4d,1,1,1,I,5,0,0,0,0,a
d5,8,1,2,3,I,3,0,0,0,0,p
bb4,4,1,3,1,I,1,0,0,0,0,p
bb4,4,1,4,1,vi,3,0,0,0,0,p
eb5,4,2,1,1,ii,3,0,0,0,0,p
g5,4,2,2,1,ii,5,0,0,0,0,p
a4,4,2,3,1,V,3,0,0,0,0,p
r,8,2,4,1,V,0,0,0,0,0,p
a4,8,2,4,3,V,3,0,0,0,0,p
c5,8,3,1,1,I6,2,1,0,1,0,p
bb4,8,3,1,3,I6,1,0,0,1,0,p
d5,8,3,2,1,V6,6,1,0,1,0,p
c5,8,3,2,3,V6,5,0,0,1,0,p
eb5,8,3,3,1,I,4,1,0,1,0,c
d5,8,3,3,3,I,3,0,0,1,0,c
f5,8,3,4,1,ii6,4,1,0,1,0,c
eb5,8,3,4,3,ii6,3,0,0,1,0,c
d5,4d,4,1,1,I64,3,0,0,1,0,mp
eb5,16,4,2,3,I64,4,1,0,1,0,d
d5,16,4,2,4,I64,3,0,0,1,0,d
c5,8,4,3,1,V,5,0,0,1,0,p
