note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
e5,8d,1,1,1,I,3,0,0,0,0,a
f5,32,1,1,4,I,4,1,0,0,0,p
g5,32,1,1,4&,I,5,0,0,0,0,p
c5,8,1,2,1,I,1,0,0,0,0,p
d5,8,1,2,3,I,2,1,0,0,0,p
d5,8,2,1,1,I,2,1,0,0,0,a
f5,16,2,1,3,I,4,1,0,0,0,p
e5,16,2,1,4,I,3,0,0,0,0,p
d5,4,2,2,1,V,5,0,0,0,0,p
e5,8d,3,1,1,I,3,0,1,0,0,a
f5,32,3,1,4,I,4,1,1,0,0,p
g5,32,3,1,4&,I,5,0,1,0,0,p
c5,8,3,2,1,I,1,0,1,0,0,p
d5,8,3,2,3,I,2,1,1,0,0,p
f5,8,4,1,1,I,4,1,1,0,0,a
e5,8,4,1,3,I,3,0,1,0,1,p
d5,4,4,2,1,V,5,0,1,0,0,p
