note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
bb4,4,1,1,1,I,5,0,0,0,0,mp
ab4,8,1,2,1,I,4,1,0,0,0,mp
g4,8,1,2,3,I,3,0,0,0,0,mp
c5,8,1,3,1,I,6,1,0,0,0,mp
bb4,8,1,3,3,I,5,0,0,0,0,mp
bb4,4,2,1,1,I,5,0,0,0,0,mp
ab4,4,2,2,1,V43,7,0,0,0,0,c
g4,4,2,3,1,I6,3,0,0,0,0,c
e4,4,3,1,1,viidim43/ii,1,0,0,1,0,d
f4,8,3,2,1,ii6,1,0,0,1,0,d
c5,8,3,2,3,ii6,5,0,0,1,0,mp
bb4,16,3,3,1,ii,4,1,0,1,0,mp
ab4,16,3,3,2,ii,3,0,0,1,0,mp
g4,16,3,3,3,ii,2,1,0,1,0,mp
f4,16,3,3,4,ii,1,0,0,1,0,mp
eb4,4,4,1,1,viihalfdim7/V,5,0,0,1,0,a
d4,16,4,2,1,V,3,0,0,1,0,mp
