note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
d5,4,1,1,1,I,1,0,0,0,0,f
r,4,1,2,1,0,0,0,0,0,0,f
g5,16,1,3,1,I,4,1,0,0,0,f
f#5,16,1,3,2,I,3,0,0,0,0,f
e5,16,1,3,3,I,2,1,0,0,0,f
f#5,16,1,3,4,I,3,0,0,0,0,f
a5,16,1,4,1,ii,4,1,0,0,0,f
g5,16,1,4,2,ii,3,0,0,0,0,f
f#5,16,1,4,3,ii,2,1,0,0,0,f
g5,16,1,4,4,ii,3,0,0,0,0,f
a5,4,2,1,1,I6,5,0,0,0,0,f
r,4,2,2,1,0,0,0,0,0,0,f
a5,8,2,3,1,I,5,0,0,0,0,p
b5,8,2,3,3,I,6,1,0,0,0,c
c#6,8,2,4,1,I,7,1,0,0,0,c
d6,8,2,4,3,I,1,0,0,0,0,c
a5,4,3,1,1,I,5,0,0,1,0,d
f#5,4,3,2,1,I,3,0,0,1,0,d
a5,16,3,3,1,ii7,4,1,0,1,0,p
g5,16,3,3,2,ii7,3,0,0,1,0,p
f#5,16,3,3,3,ii7,2,1,0,1,0,p
g5,16,3,3,4,ii7,3,0,0,1,0,p
a5,8,3,4,1,V,1,0,0,1,0,p
g5,8,3,4,3,V7,7,0,0,1,0,p
e#5,8,4,1,1,I,2,1,0,1,0,p
f#5,8,4,1,3,I,3,0,0,1,0,p
