note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
c5,4d,1,1,1,i,3,0,0,0,0,a
b4,8,1,2,3,V42,5,0,0,0,0,p
a4,4d,2,1,1,i,1,0,0,0,0,a
g#4,8,2,2,3,V64,3,0,0,0,0,p
a4,4d,3,1,1,i,1,0,0,0,0,a
b4,8,3,2,3,V6,5,0,0,0,0,p
d5,8,4,1,1,i,4,1,0,0,0,a
c5,8,4,1,3,i,3,0,0,0,0,p
b4,4,4,2,1,V,5,0,0,0,0,p
d5,4d,5,1,1,iv6,1,0,1,0,0,a
c5,8,5,2,3,i64,3,0,1,0,0,p
f5,4d,6,1,1,iv6,3,0,1,0,0,a
e5,8,6,2,3,i6,5,0,1,0,0,p
d5,4d,7,1,1,viidim6,5,0,1,0,0,p
c5,8,7,2,3,i,3,0,1,0,0,d
c5,8,8,1,1,V,6,1,1,0,0,d
b4,8,8,1,3,V,5,0,1,0,0,d
g4,8,8,2,1,V,3,0,1,0,0,d
e4,8,8,2,3,V,1,0,1,0,0,d
