note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
c4,2,1,1,1,i,1,0,0,0,0,f
eb4,4,1,3,1,i,3,0,0,0,0,f
g4,4,1,4,1,i,5,0,0,0,0,f
c5,4,2,1,1,i,1,0,0,0,0,f
eb5,4,2,2,1,i,3,0,0,0,0,f
r,8d,2,3,1,0,0,0,0,0,0,f
eb5,16,2,3,4,i,3,0,0,1,0,p
eb5,8,2,4,1,i,3,0,0,1,1,p
d5,16,2,4,3,i,2,1,0,1,0,p
eb5,16,2,4,4,i,3,0,0,1,0,p
g5,4,3,1,1,i,5,0,0,1,0,p
c5,4,3,2,1,i,1,0,0,1,0,p
c5,4,3,3,1,i,1,0,0,1,0,p
c5,4,3,4,1,i,1,0,0,1,0,p
ab5,4,4,1,1,viidim65,7,0,0,1,0,p
b4,4,4,2,1,viidim65,1,0,0,1,0,p
b4,4,4,3,1,viidim65,1,1,0,1,0,p
r,4,4,4,1,0,0,1,0,1,0,p
