note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
c5,2,1,1,1,I,1,0,0,0,1,a
g4,2,1,3,1,V,1,0,0,0,0,a
e5,4d,2,1,1,V,6,1,0,0,0,a
f5,16,2,2,3,V,7,0,0,0,0,f
d5,16,2,2,4,V,5,0,0,0,0,f
c5,4,2,3,1,I,1,0,0,0,0,f
r,4,2,4,1,0,0,0,0,0,0,f
g5,4,3,1,1,I6,5,0,0,0,0,p
g5,4,3,2,1,I6,5,0,0,0,0,p
r,4,3,3,1,V65/ii,0,0,0,0,0,p
a5,4,3,4,1,V65/ii,1,0,0,0,0,p
g5,8,4,1,1,ii,4,1,0,0,0,a
f5,8,4,1,3,ii,3,0,0,0,0,p
f5,4,4,2,1,ii,3,0,0,0,0,p
r,4,4,3,1,V6,0,0,0,0,0,p
g5,4,4,4,1,V6,1,0,0,0,0,p
f5,8,5,1,1,I,4,1,0,0,0,a
e5,8,5,1,3,I,3,0,0,0,0,p
e5,4,5,2,1,I,3,0,0,0,0,p
r,4,5,3,1,I,0,0,0,0,0,p
g5,8,5,4,1,I,5,0,0,0,0,p
e5,8,5,4,3,I,3,0,0,0,0,p
c#5,8,6,1,1,ii6,7,1,0,1,0,a
d5,8,6,1,3,ii6,1,0,0,1,0,p
f5,8,6,2,1,ii6,3,0,0,1,0,p
e5,8,6,2,3,ii6,2,1,0,1,0,p
c#5,8,6,3,1,ii6,7,1,0,1,0,a
d5,8,6,3,3,ii6,1,0,0,1,0,c
f5,8,6,4,1,ii6,3,0,0,1,0,c
e5,8,6,4,3,ii6,2,1,0,1,0,c
c#5,8,7,1,1,ii6,7,1,0,1,0,a
d5,8,7,1,3,ii6,1,0,0,1,0,c
f5,8,7,2,1,ii6,3,0,0,1,0,c
a5,8,7,2,3,ii6,5,0,0,1,0,c
g5,8,7,3,1,I64,5,0,0,1,0,d
e5,8,7,3,3,I64,3,0,0,1,0,d
f5,8,7,4,1,V,7,0,0,1,0,d
d5,8,7,4,3,V,5,0,0,1,0,d
