note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
f4,2,1,1,1,I,1,0,0,0,0,p
a4,4,1,3,1,I,3,0,0,0,0,c
c5,2,2,1,1,V7/IV,5,0,0,0,0,c
a4,4,2,3,1,V7/IV,3,0,0,0,0,c
bb4,2,3,1,1,IV64,1,0,0,0,0,c
g5,4,3,3,1,IV64,6,1,0,0,0,c
f5,8,4,1,1,viidim6,2,1,0,0,0,mf
e5,8,4,1,3,viidim6,1,0,0,0,0,mf
e5,4,4,2,1,viidim6,1,0,0,0,0,mf
r,4,4,3,1,viidim6,0,0,0,0,0,mf
f5,4,5,1,1,I,1,0,0,1,0,mf
a4,4,5,2,1,I,3,0,0,1,0,d
d5,4,5,3,1,ii,6,1,0,1,0,d
g4,4,6,1,1,ii,2,1,0,1,0,d
c5,4d,6,2,1,I,5,0,0,1,0,a
a4,8,6,3,3,I,3,0,0,1,0,p
f4,2d,7,1,1,I,1,0,0,1,0,p
g4,2d,8,1,1,V7/V,1,0,0,1,0,p
