note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
c5,4,1,1,1,I,5,0,0,0,0,f
c5,4,1,2,1,I,5,0,0,0,0,f
c5,4,1,3,1,I,5,0,0,0,0,f
c5,4d,2,1,1,I,5,0,0,0,0,f
d5,16,2,2,3,I,6,1,0,0,0,f
c5,16,2,2,4,I,5,0,0,0,0,f
b4,16,2,3,1,I,4,1,0,0,0,f
a4,16,2,3,2,I,3,0,0,0,0,f
g4,16,2,3,3,I,2,1,0,0,0,f
f4,16,2,3,4,I,1,0,0,0,0,f
f5,4,3,1,1,I,1,0,0,1,0,a
e5,4,3,2,1,viidim,1,0,0,1,0,f
eb5,4,3,3,1,V7/IV,7,0,0,1,0,f
d5,4,4,1,1,IV64,3,0,0,1,0,f
r,4,4,2,1,IV64,0,0,0,1,0,f
r,4,4,3,1,IV64,0,0,0,1,0,f
