note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
c5,8,0,2,3,I,5,0,0,0,0,mp
c5,8,0,3,1,I,5,0,0,0,0,mp
c5,8,0,3,3,I,5,0,0,0,0,mp
c5,8d,1,1,1,I,5,0,0,0,1,mp
f5,16,1,1,4,I,1,0,0,0,0,mp
c5,8,1,2,1,I,5,0,0,0,0,mp
a4,8,1,2,3,I,3,0,0,0,0,mp
c5,8,1,3,1,V7,1,0,0,0,0,mp
e4,8,1,3,3,V7,3,0,0,0,0,mp
g4,4,2,1,1,vi,4,1,0,0,0,d
f4,8,2,2,1,vi,3,0,0,0,0,d
f4,8,2,2,3,I,1,0,0,1,0,mf
g4,8,2,3,1,I,2,1,0,1,0,c
a4,8,2,3,3,I,3,0,0,1,0,c
bb4,8d,3,1,1,IV,1,0,0,1,0,d
c5,32,3,1,4,IV,2,1,0,1,0,d
d5,32,3,1,4&,IV,3,0,0,1,0,d
c5,8,3,2,1,I,5,0,0,1,0,d
f4,8,3,2,3,I,1,0,0,1,0,p
e4,8,3,3,1,viidim6/V,4,1,0,1,0,p
f4,8,3,3,3,viidim6/V,5,0,0,1,0,p
a4,4,4,1,1,I64,3,0,0,1,0,a
g4,8,4,2,1,V,5,0,0,1,0,p
