note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
a4,4,0,3,1,I,5,0,0,0,0,p
a4,4,0,4,1,I,5,0,0,0,0,p
d5,2,1,1,1,I,1,0,0,0,0,p
c#5,8,1,3,1,vi,2,1,0,0,0,c
d5,8,1,3,3,vi,3,0,0,0,0,c
e5,8,1,4,1,vi,4,1,0,0,0,c
f#5,8,1,4,3,vi,5,0,0,0,0,c
g5,8,2,1,1,ii6,3,0,0,0,0,mf
e5,8,2,1,3,ii6,1,0,0,0,0,mf
g5,8,2,2,1,ii6,3,0,0,0,0,mf
e5,8,2,2,3,ii6,1,0,0,0,0,mf
d5,8,2,3,1,V7,4,1,0,0,0,mf
c#5,8,2,3,3,V7,3,0,0,0,0,mf
b4,8,2,4,1,V7,2,1,0,0,0,mf
a4,8,2,4,3,V7,1,0,0,0,0,mf
a5,8,3,1,1,I,5,0,0,1,0,mf
f#5,8,3,1,3,I,3,0,0,1,0,mf
a5,8,3,2,1,I,5,0,0,1,0,mf
f#5,8,3,2,3,I,3,0,0,1,0,mf
b5,8,3,3,1,ii6,5,0,0,1,0,d
g5,8,3,3,3,ii6,3,0,0,1,0,d
b5,8,3,4,1,ii6,5,0,0,1,0,d
g5,8,3,4,3,ii6,3,0,0,1,0,d
f#5,4,4,1,1,I64,3,0,0,1,0,d
e5,4,4,2,1,V,5,0,0,1,0,d
