note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
r,16,1,1,1,I,0,0,0,0,0,f
c6,16,1,1,2,I,5,0,0,0,0,f
b5,16,1,1,3,I,4,1,0,0,0,f
c6,16,1,1,4,I,5,0,0,0,0,f
f6,16,1,1,5,I,1,0,0,0,0,f
c6,16,1,1,6,I,5,0,0,0,0,f
bb5,16,1,2,1,I,4,1,0,0,0,a
a5,16,1,2,2,I,3,0,0,0,0,f
g#5,16,1,2,3,I,2,1,0,0,0,f
a5,16,1,2,4,I,3,0,0,0,0,f
c6,16,1,2,5,I,5,0,0,0,0,f
a5,16,1,2,6,I,3,0,0,0,0,f
g5,16,2,1,1,I,2,1,0,0,0,a
f5,16,2,1,2,I,1,0,0,0,0,f
e5,16,2,1,3,I,7,1,0,0,0,f
f5,16,2,1,4,I,1,0,0,0,0,f
a5,16,2,1,5,I,3,0,0,0,0,f
f5,16,2,1,6,I,1,0,0,0,0,f
d5,16,2,2,1,I,6,1,0,0,0,a
c5,16,2,2,2,I,5,0,0,0,0,f
b4,16,2,2,3,I,4,1,0,0,0,f
c5,16,2,2,4,I,5,0,0,0,0,f
f5,16,2,2,5,I,1,0,0,0,0,f
c5,16,2,2,6,I,5,0,0,0,0,f
bb4,16,3,1,1,I,4,1,0,0,0,a
a4,16,3,1,2,I,3,0,0,0,0,f
g#4,16,3,1,3,I,2,1,0,0,0,f
a4,16,3,1,4,I,3,0,0,0,0,f
c5,16,3,1,5,I,5,0,0,0,0,f
a4,16,3,1,6,I,3,0,0,0,0,f
f4,8,3,2,1,I,1,0,0,1,0,f
e4,8,3,2,3,I,7,1,0,1,0,f
f4,8,3,2,5,I,1,0,0,1,0,f
g4,8,4,1,1,ii7,1,0,0,1,0,f
f4,8,4,1,3,ii7,7,1,0,1,0,f
g4,8,4,1,5,ii7,1,0,0,1,0,f
a4,8,4,2,1,I64,3,0,0,1,0,f
g4,8,4,2,3,I64,2,1,0,1,0,f
a4,8,4,2,5,I64,3,0,0,1,0,f
bb4,8,5,1,1,iv6,1,0,0,1,0,a
bb4,8,5,1,3,iv6,1,0,0,1,0,d
a4,8,5,1,5,I64,3,0,0,1,0,d
bb4,8,5,2,1,iv6,1,0,0,1,0,a
bb4,8,5,2,3,iv6,1,0,0,1,0,d
a4,8,5,2,5,I64,3,0,0,1,0,d
ab4,8,6,1,1,viidim7/V,7,0,0,1,0,p
ab4,8,6,1,3,viidim7/V,7,0,0,1,0,p
ab4,8,6,1,5,viidim7/V,7,0,0,1,0,p
g4,8,6,2,1,V,5,0,0,1,0,p
r,8,6,2,3,0,0,0,0,1,0,p
r,8,6,2,5,0,0,0,0,1,0,p
