note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
b4,8,1,1,1,I,3,0,0,0,0,p
c5,16d,1,1,3,I,4,1,0,0,1,p
b4,32,1,1,4&,I,3,0,0,0,0,p
a4,8,1,2,1,V6,5,0,0,0,0,c
b4,8,1,2,3,I,3,0,0,0,0,c
c5,8,2,1,1,V43,7,0,0,0,0,d
d5,8,2,1,3,V65,1,0,0,0,0,d
c5,16,2,2,1,I,4,1,0,0,0,d
b4,16,2,2,2,I,3,0,0,0,0,d
a4,16,2,2,3,I,2,1,0,0,0,d
g4,16,2,2,4,I,1,0,0,0,0,d
c5,8,3,1,1,IV6,1,0,0,1,0,f
b4,8,3,1,3,I64,3,0,0,1,0,f
e5,8,3,2,1,IV,3,0,0,1,0,f
r,16,3,2,3,0,0,0,0,1,0,f
d5,16,3,2,4,I6,5,0,0,1,0,p
c5,16,4,1,1,V65,7,0,0,1,0,p
a4,16,4,1,2,V65,5,0,0,1,0,p
b4,16,4,1,3,I,3,0,0,1,0,p
g4,16,4,1,4,I,1,0,0,1,0,p
b4,8,4,2,1,I64,3,0,0,1,0,p
a4,8,4,2,3,V,5,0,0,1,0,p
