note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
bb4,8,0,4,3,I,1,0,0,0,0,p
d5,8,1,1,1,I,3,0,0,0,0,p
r,8,1,1,3,I,0,0,0,0,0,p
eb5,8,1,2,1,V43,7,0,0,0,0,p
r,8,1,2,3,V43,0,0,0,0,0,p
e5,4,1,3,1,I6,4,1,0,0,0,p
f5,8,1,4,1,I,5,0,0,0,0,p
d5,8,1,4,3,I,3,0,0,0,0,p
c5,8,2,1,1,V6,5,0,0,0,1,p
b4,8,2,1,3,V6,4,1,0,0,0,p
c5,8,2,2,1,I,2,1,0,0,0,p
d5,8,2,2,3,I,3,0,0,0,0,p
f5,4,2,3,1,V43,1,0,0,0,0,p
eb5,8,2,4,1,V43,7,0,0,0,0,p
a4,8,2,4,3,V43,3,0,0,0,0,p
bb4,8,3,1,1,I6,1,0,0,1,0,p
bb4,4,3,1,3,I6,1,0,0,1,0,p
b4,8,3,2,3,I6,2,1,0,1,0,p
c5,8,3,3,1,V6,5,0,0,1,0,p
c5,4,3,3,3,V6,5,0,0,1,0,p
c#5,8,3,4,3,V6,6,1,0,1,0,p
d5,8,4,1,1,I,3,0,0,1,0,p
c5,8,4,1,3,V6,5,0,0,1,0,p
d5,8,4,2,1,I,3,0,0,1,0,p
eb5,8,4,2,3,ii6,3,0,0,1,0,p
d5,4,4,3,1,I64,3,0,0,1,0,p
c5,8,4,4,1,V,5,0,0,1,0,p
