note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic
b4,2,1,1,1,I,3,0,0,0,0,pp
d5,16,1,3,1,V43,1,0,0,0,0,pp
c5,16,1,3,2,V43,7,0,0,0,0,pp
b4,16,1,3,3,V43,6,1,0,0,0,pp
c5,16,1,3,4,V43,7,0,0,0,0,pp
d5,8d,2,1,1,I,5,0,0,0,0,a
b4,16,2,1,4,I,3,0,0,0,0,pp
g4,4,2,2,1,I,1,0,0,0,0,pp
r,4,2,3,1,I,0,0,0,0,0,pp
g5,4d,3,1,1,IV64,5,0,1,0,0,a
a5,16,3,2,3,IV64,6,1,1,0,0,pp
g5,16,3,2,4,IV64,5,0,1,0,0,pp
f#5,16,3,3,1,ii#dim7,6,1,1,0,0,pp
e5,16,3,3,2,ii#dim7,5,0,1,0,0,pp
d5,16,3,3,3,ii#dim7,4,1,1,0,0,pp
c#5,16,3,3,4,ii#dim7,3,0,1,0,0,pp
d5,8d,4,1,1,I,5,0,1,0,0,a
b4,16,4,1,4,I,3,0,1,0,0,pp
g4,4,4,2,1,I,1,0,1,0,0,pp
r,4,4,3,1,I,0,0,1,0,0,pp
